success,solve_time,solution_count,iterations,residual,diversity
1,0.007873058319091797,1,1,1e-06,0.0
1,0.0054454803466796875,1,1,1e-06,0.0
1,0.003791332244873047,1,1,1e-06,0.0
1,0.026552677154541016,1,1,1e-06,0.0
1,0.004590034484863281,1,1,1e-06,0.0
1,0.01461935043334961,1,1,1e-06,0.0
1,0.006933927536010742,1,1,1e-06,0.0
1,0.002923250198364258,1,1,1e-06,0.0
1,0.004105567932128906,1,1,1e-06,0.0
1,0.0024814605712890625,1,1,1e-06,0.0
1,0.005669355392456055,1,1,1e-06,0.0
1,0.0695180892944336,1,1,1e-06,0.0
1,0.011474609375,1,1,1e-06,0.0
1,0.002646207809448242,1,1,1e-06,0.0
1,0.03515481948852539,1,1,1e-06,0.0
1,0.015554428100585938,1,1,1e-06,0.0
1,0.007997512817382812,1,1,1e-06,0.0
1,0.002634286880493164,1,1,1e-06,0.0
1,0.025781631469726562,1,1,1e-06,0.0
1,0.019752979278564453,1,1,1e-06,0.0
1,0.0037169456481933594,1,1,1e-06,0.0
1,0.0045528411865234375,1,1,1e-06,0.0
1,0.004525661468505859,1,1,1e-06,0.0
1,0.017978906631469727,1,1,1e-06,0.0
1,0.0026597976684570312,1,1,1e-06,0.0
1,0.003920793533325195,1,1,1e-06,0.0
1,0.0024785995483398438,1,1,1e-06,0.0
1,0.006121397018432617,1,1,1e-06,0.0
1,0.005787849426269531,1,1,1e-06,0.0
1,0.0039827823638916016,1,1,1e-06,0.0
1,0.002833843231201172,1,1,1e-06,0.0
1,0.0069732666015625,1,1,1e-06,0.0
1,0.028214216232299805,1,1,1e-06,0.0
1,0.0042264461517333984,1,1,1e-06,0.0
1,0.007835865020751953,1,1,1e-06,0.0
1,0.005635738372802734,1,1,1e-06,0.0
1,0.037865400314331055,1,1,1e-06,0.0
1,0.0062351226806640625,1,1,1e-06,0.0
1,0.0033774375915527344,1,1,1e-06,0.0
1,0.003794431686401367,1,1,1e-06,0.0
1,0.006080150604248047,1,1,1e-06,0.0
1,0.0025250911712646484,1,1,1e-06,0.0
1,0.003307819366455078,1,1,1e-06,0.0
1,0.002977609634399414,1,1,1e-06,0.0
1,0.0043451786041259766,1,1,1e-06,0.0
1,0.03925967216491699,1,1,1e-06,0.0
1,0.003501415252685547,1,1,1e-06,0.0
1,0.0027697086334228516,1,1,1e-06,0.0
1,0.011782407760620117,1,1,1e-06,0.0
1,0.01571965217590332,1,1,1e-06,0.0
1,0.0027115345001220703,1,1,1e-06,0.0
1,0.00740814208984375,1,1,1e-06,0.0
1,0.003139019012451172,1,1,1e-06,0.0
1,0.006760358810424805,1,1,1e-06,0.0
1,0.005348920822143555,1,1,1e-06,0.0
1,0.00654149055480957,1,1,1e-06,0.0
1,0.008646965026855469,1,1,1e-06,0.0
1,0.08410525321960449,1,1,1e-06,0.0
1,0.0072972774505615234,1,1,1e-06,0.0
1,0.005276918411254883,1,1,1e-06,0.0
1,0.026034116744995117,1,1,1e-06,0.0
1,0.0024361610412597656,1,1,1e-06,0.0
1,0.004659175872802734,1,1,1e-06,0.0
1,0.010074377059936523,1,1,1e-06,0.0
1,0.0194699764251709,1,1,1e-06,0.0
1,0.0027933120727539062,1,1,1e-06,0.0
1,0.004488945007324219,1,1,1e-06,0.0
1,0.003310680389404297,1,1,1e-06,0.0
1,0.00460052490234375,1,1,1e-06,0.0
1,0.0032300949096679688,1,1,1e-06,0.0
1,0.0030434131622314453,1,1,1e-06,0.0
1,0.0030214786529541016,1,1,1e-06,0.0
1,0.00603938102722168,1,1,1e-06,0.0
1,0.03210115432739258,1,1,1e-06,0.0
1,0.0027437210083007812,1,1,1e-06,0.0
1,0.02217698097229004,1,1,1e-06,0.0
1,0.0034475326538085938,1,1,1e-06,0.0
1,0.004242420196533203,1,1,1e-06,0.0
1,0.005633831024169922,1,1,1e-06,0.0
1,0.005175113677978516,1,1,1e-06,0.0
1,0.006286144256591797,1,1,1e-06,0.0
1,0.0031414031982421875,1,1,1e-06,0.0
1,0.004252433776855469,1,1,1e-06,0.0
1,0.003551959991455078,1,1,1e-06,0.0
1,0.009558677673339844,1,1,1e-06,0.0
1,0.014456033706665039,1,1,1e-06,0.0
1,0.01819777488708496,1,1,1e-06,0.0
1,0.005216121673583984,1,1,1e-06,0.0
1,0.007144451141357422,1,1,1e-06,0.0
1,0.03496050834655762,1,1,1e-06,0.0
1,0.0057299137115478516,1,1,1e-06,0.0
1,0.00442051887512207,1,1,1e-06,0.0
1,0.03864002227783203,1,1,1e-06,0.0
1,0.005721330642700195,1,1,1e-06,0.0
1,0.007459878921508789,1,1,1e-06,0.0
1,0.005131244659423828,1,1,1e-06,0.0
1,0.006542682647705078,1,1,1e-06,0.0
1,0.04673361778259277,1,1,1e-06,0.0
1,0.004263639450073242,1,1,1e-06,0.0
1,0.12963461875915527,1,1,1e-06,0.0
1,0.03142189979553223,1,1,1e-06,0.0
1,0.00703883171081543,1,1,1e-06,0.0
1,0.006888866424560547,1,1,1e-06,0.0
1,0.0043337345123291016,1,1,1e-06,0.0
1,0.024977922439575195,1,1,1e-06,0.0
1,0.004422187805175781,1,1,1e-06,0.0
1,0.002630472183227539,1,1,1e-06,0.0
1,0.010116100311279297,1,1,1e-06,0.0
1,0.10166072845458984,1,1,1e-06,0.0
1,0.013153791427612305,1,1,1e-06,0.0
1,0.0026879310607910156,1,1,1e-06,0.0
1,0.002870321273803711,1,1,1e-06,0.0
1,0.002117633819580078,1,1,1e-06,0.0
1,0.0023314952850341797,1,1,1e-06,0.0
1,0.002744913101196289,1,1,1e-06,0.0
1,0.002601146697998047,1,1,1e-06,0.0
1,0.00211334228515625,1,1,1e-06,0.0
1,0.0022170543670654297,1,1,1e-06,0.0
1,0.003426790237426758,1,1,1e-06,0.0
1,0.02344226837158203,1,1,1e-06,0.0
1,0.003759145736694336,1,1,1e-06,0.0
1,0.0031223297119140625,1,1,1e-06,0.0
1,0.003342866897583008,1,1,1e-06,0.0
1,0.003126382827758789,1,1,1e-06,0.0
1,0.002556324005126953,1,1,1e-06,0.0
1,0.026841402053833008,1,1,1e-06,0.0
1,0.003099203109741211,1,1,1e-06,0.0
1,0.004442691802978516,1,1,1e-06,0.0
1,0.004571437835693359,1,1,1e-06,0.0
1,0.0028519630432128906,1,1,1e-06,0.0
1,0.002593517303466797,1,1,1e-06,0.0
1,0.003158092498779297,1,1,1e-06,0.0
1,0.007542848587036133,1,1,1e-06,0.0
1,0.013121366500854492,1,1,1e-06,0.0
1,0.0037419795989990234,1,1,1e-06,0.0
1,0.004380464553833008,1,1,1e-06,0.0
1,0.009851455688476562,1,1,1e-06,0.0
1,0.007756233215332031,1,1,1e-06,0.0
1,0.004258871078491211,1,1,1e-06,0.0
1,0.0046863555908203125,1,1,1e-06,0.0
1,0.02203369140625,1,1,1e-06,0.0
1,0.04863595962524414,1,1,1e-06,0.0
1,0.006317138671875,1,1,1e-06,0.0
1,0.04075050354003906,1,1,1e-06,0.0
1,0.0023984909057617188,1,1,1e-06,0.0
1,0.002009868621826172,1,1,1e-06,0.0
1,0.0029146671295166016,1,1,1e-06,0.0
1,0.0027408599853515625,1,1,1e-06,0.0
1,0.0026311874389648438,1,1,1e-06,0.0
1,0.005350589752197266,1,1,1e-06,0.0
1,0.0031976699829101562,1,1,1e-06,0.0
1,0.0019571781158447266,1,1,1e-06,0.0
1,0.002850770950317383,1,1,1e-06,0.0
1,0.002543926239013672,1,1,1e-06,0.0
1,0.0032761096954345703,1,1,1e-06,0.0
1,0.002799510955810547,1,1,1e-06,0.0
1,0.004293203353881836,1,1,1e-06,0.0
1,0.0036656856536865234,1,1,1e-06,0.0
1,0.005083560943603516,1,1,1e-06,0.0
1,0.007335662841796875,1,1,1e-06,0.0
1,0.003203153610229492,1,1,1e-06,0.0
1,0.0025072097778320312,1,1,1e-06,0.0
1,0.002216339111328125,1,1,1e-06,0.0
1,0.030410051345825195,1,1,1e-06,0.0
1,0.004656314849853516,1,1,1e-06,0.0
1,0.002634286880493164,1,1,1e-06,0.0
1,0.00577855110168457,1,1,1e-06,0.0
1,0.003340482711791992,1,1,1e-06,0.0
1,0.005803346633911133,1,1,1e-06,0.0
1,0.00278472900390625,1,1,1e-06,0.0
1,0.0029191970825195312,1,1,1e-06,0.0
1,0.0022618770599365234,1,1,1e-06,0.0
1,0.0027625560760498047,1,1,1e-06,0.0
1,0.006274223327636719,1,1,1e-06,0.0
1,0.002605438232421875,1,1,1e-06,0.0
1,0.06301760673522949,1,1,1e-06,0.0
1,0.003110647201538086,1,1,1e-06,0.0
1,0.003072977066040039,1,1,1e-06,0.0
1,0.003570079803466797,1,1,1e-06,0.0
1,0.004740476608276367,1,1,1e-06,0.0
1,0.002454519271850586,1,1,1e-06,0.0
1,0.002574920654296875,1,1,1e-06,0.0
1,0.005548715591430664,1,1,1e-06,0.0
1,0.0024590492248535156,1,1,1e-06,0.0
1,0.0029730796813964844,1,1,1e-06,0.0
1,0.0026772022247314453,1,1,1e-06,0.0
1,0.001953125,1,1,1e-06,0.0
