success,solve_time,solution_count,iterations,residual,diversity
1,0.007399559020996094,1,1,1e-06,0.0
1,0.0067005157470703125,1,1,1e-06,0.0
1,0.005188703536987305,1,1,1e-06,0.0
1,0.023622989654541016,1,1,1e-06,0.0
1,0.007362842559814453,1,1,1e-06,0.0
1,0.005132436752319336,1,1,1e-06,0.0
1,0.005763053894042969,1,1,1e-06,0.0
1,0.0031037330627441406,1,1,1e-06,0.0
1,0.002956867218017578,1,1,1e-06,0.0
1,0.006402730941772461,1,1,1e-06,0.0
1,0.0043718814849853516,1,1,1e-06,0.0
1,0.03221607208251953,1,1,1e-06,0.0
1,0.03603553771972656,1,1,1e-06,0.0
1,0.0024814605712890625,1,1,1e-06,0.0
1,0.04407334327697754,1,1,1e-06,0.0
1,0.0506596565246582,1,1,1e-06,0.0
1,0.00345611572265625,1,1,1e-06,0.0
1,0.0058209896087646484,1,1,1e-06,0.0
1,0.003063678741455078,1,1,1e-06,0.0
1,0.012248039245605469,1,1,1e-06,0.0
1,0.002305746078491211,1,1,1e-06,0.0
1,0.0018458366394042969,1,1,1e-06,0.0
1,0.004324436187744141,1,1,1e-06,0.0
1,0.01446676254272461,1,1,1e-06,0.0
1,0.0057947635650634766,1,1,1e-06,0.0
1,0.008495807647705078,1,1,1e-06,0.0
1,0.003040790557861328,1,1,1e-06,0.0
1,0.0036954879760742188,1,1,1e-06,0.0
1,0.0028972625732421875,1,1,1e-06,0.0
1,0.002442598342895508,1,1,1e-06,0.0
1,0.0024573802947998047,1,1,1e-06,0.0
1,0.0032930374145507812,1,1,1e-06,0.0
1,0.018514156341552734,1,1,1e-06,0.0
1,0.003222942352294922,1,1,1e-06,0.0
1,0.02647686004638672,1,1,1e-06,0.0
1,0.016005277633666992,1,1,1e-06,0.0
1,0.0038635730743408203,1,1,1e-06,0.0
1,0.002208709716796875,1,1,1e-06,0.0
1,0.0022890567779541016,1,1,1e-06,0.0
1,0.004093170166015625,1,1,1e-06,0.0
1,0.003297090530395508,1,1,1e-06,0.0
1,0.002371072769165039,1,1,1e-06,0.0
1,0.0028548240661621094,1,1,1e-06,0.0
1,0.0022351741790771484,1,1,1e-06,0.0
1,0.006196022033691406,1,1,1e-06,0.0
1,0.004453182220458984,1,1,1e-06,0.0
1,0.0020036697387695312,1,1,1e-06,0.0
1,0.002295970916748047,1,1,1e-06,0.0
1,0.002597808837890625,1,1,1e-06,0.0
1,0.016269683837890625,1,1,1e-06,0.0
1,0.0030460357666015625,1,1,1e-06,0.0
1,0.003687143325805664,1,1,1e-06,0.0
1,0.004732847213745117,1,1,1e-06,0.0
1,0.024073123931884766,1,1,1e-06,0.0
1,0.024447917938232422,1,1,1e-06,0.0
1,0.002847433090209961,1,1,1e-06,0.0
1,0.0027534961700439453,1,1,1e-06,0.0
1,0.004056215286254883,1,1,1e-06,0.0
1,0.003660440444946289,1,1,1e-06,0.0
1,0.004400730133056641,1,1,1e-06,0.0
1,0.02444624900817871,1,1,1e-06,0.0
1,0.00782322883605957,1,1,1e-06,0.0
1,0.0026237964630126953,1,1,1e-06,0.0
1,0.0029244422912597656,1,1,1e-06,0.0
1,0.018179655075073242,1,1,1e-06,0.0
1,0.0037238597869873047,1,1,1e-06,0.0
1,0.0026357173919677734,1,1,1e-06,0.0
1,0.0025451183319091797,1,1,1e-06,0.0
1,0.0033371448516845703,1,1,1e-06,0.0
1,0.0022783279418945312,1,1,1e-06,0.0
1,0.0023355484008789062,1,1,1e-06,0.0
1,0.002997159957885742,1,1,1e-06,0.0
1,0.003618955612182617,1,1,1e-06,0.0
1,0.0497441291809082,1,1,1e-06,0.0
1,0.0022416114807128906,1,1,1e-06,0.0
1,0.0033583641052246094,1,1,1e-06,0.0
1,0.0026595592498779297,1,1,1e-06,0.0
1,0.0021276473999023438,1,1,1e-06,0.0
1,0.0050127506256103516,1,1,1e-06,0.0
1,0.0035424232482910156,1,1,1e-06,0.0
1,0.003188610076904297,1,1,1e-06,0.0
1,0.002595663070678711,1,1,1e-06,0.0
1,0.0025086402893066406,1,1,1e-06,0.0
1,0.0024476051330566406,1,1,1e-06,0.0
1,0.006067991256713867,1,1,1e-06,0.0
1,0.0031790733337402344,1,1,1e-06,0.0
1,0.015257835388183594,1,1,1e-06,0.0
1,0.0033338069915771484,1,1,1e-06,0.0
1,0.021333932876586914,1,1,1e-06,0.0
1,0.005948543548583984,1,1,1e-06,0.0
1,0.0040667057037353516,1,1,1e-06,0.0
1,0.0027670860290527344,1,1,1e-06,0.0
1,0.0025985240936279297,1,1,1e-06,0.0
1,0.002763032913208008,1,1,1e-06,0.0
1,0.0022835731506347656,1,1,1e-06,0.0
1,0.002730131149291992,1,1,1e-06,0.0
1,0.004243135452270508,1,1,1e-06,0.0
1,0.05587434768676758,1,1,1e-06,0.0
1,0.0030679702758789062,1,1,1e-06,0.0
1,0.017079591751098633,1,1,1e-06,0.0
1,0.0030074119567871094,1,1,1e-06,0.0
1,0.002254486083984375,1,1,1e-06,0.0
1,0.002476930618286133,1,1,1e-06,0.0
1,0.0022156238555908203,1,1,1e-06,0.0
1,0.013664722442626953,1,1,1e-06,0.0
1,0.0022156238555908203,1,1,1e-06,0.0
1,0.003764629364013672,1,1,1e-06,0.0
1,0.002614736557006836,1,1,1e-06,0.0
1,0.004549264907836914,1,1,1e-06,0.0
1,0.02148890495300293,1,1,1e-06,0.0
1,0.0028655529022216797,1,1,1e-06,0.0
1,0.003086566925048828,1,1,1e-06,0.0
1,0.003175973892211914,1,1,1e-06,0.0
1,0.004268646240234375,1,1,1e-06,0.0
1,0.002779245376586914,1,1,1e-06,0.0
1,0.0033376216888427734,1,1,1e-06,0.0
1,0.002895832061767578,1,1,1e-06,0.0
1,0.0025687217712402344,1,1,1e-06,0.0
1,0.0029997825622558594,1,1,1e-06,0.0
1,0.04078102111816406,1,1,1e-06,0.0
1,0.0021369457244873047,1,1,1e-06,0.0
1,0.0026702880859375,1,1,1e-06,0.0
1,0.004113912582397461,1,1,1e-06,0.0
1,0.002464771270751953,1,1,1e-06,0.0
1,0.0032999515533447266,1,1,1e-06,0.0
1,0.0033402442932128906,1,1,1e-06,0.0
1,0.002956390380859375,1,1,1e-06,0.0
1,0.0035164356231689453,1,1,1e-06,0.0
1,0.003667116165161133,1,1,1e-06,0.0
1,0.003457307815551758,1,1,1e-06,0.0
1,0.0040929317474365234,1,1,1e-06,0.0
1,0.0036017894744873047,1,1,1e-06,0.0
1,0.0028362274169921875,1,1,1e-06,0.0
1,0.0097503662109375,1,1,1e-06,0.0
1,0.002439737319946289,1,1,1e-06,0.0
1,0.002847909927368164,1,1,1e-06,0.0
1,0.0047190189361572266,1,1,1e-06,0.0
1,0.01654958724975586,1,1,1e-06,0.0
1,0.002513408660888672,1,1,1e-06,0.0
1,0.0022325515747070312,1,1,1e-06,0.0
1,0.004436016082763672,1,1,1e-06,0.0
1,0.04851365089416504,1,1,1e-06,0.0
1,0.0030269622802734375,1,1,1e-06,0.0
1,0.008068084716796875,1,1,1e-06,0.0
1,0.0034942626953125,1,1,1e-06,0.0
1,0.00449371337890625,1,1,1e-06,0.0
1,0.0027620792388916016,1,1,1e-06,0.0
1,0.0024530887603759766,1,1,1e-06,0.0
1,0.0033228397369384766,1,1,1e-06,0.0
1,0.0046384334564208984,1,1,1e-06,0.0
1,0.004312992095947266,1,1,1e-06,0.0
1,0.0059201717376708984,1,1,1e-06,0.0
1,0.005414485931396484,1,1,1e-06,0.0
1,0.006184101104736328,1,1,1e-06,0.0
1,0.006276369094848633,1,1,1e-06,0.0
