allowed_time,n_trials,success_rate_%,planning_time_mean,planning_time_std,planning_time_CI_low,planning_time_CI_high,wall_time_mean,wall_time_std,wall_time_CI_low,wall_time_CI_high,path_length_joint_mean,path_length_joint_std,path_length_joint_CI_low,path_length_joint_CI_high,trajectory_duration_mean,trajectory_duration_std,trajectory_duration_CI_low,trajectory_duration_CI_high,elapsed_time_sec_mean,elapsed_time_sec_std,elapsed_time_sec_CI_low,elapsed_time_sec_CI_high
5,200,20.5,4.5394981642483945,1.3396996962650618,4.352692602933756,4.726303725563033,4.550823132991791,1.3210192870676516,4.366622337756772,4.73502392822681,0.5717353790794547,1.1694903626791402,0.4086635322607975,0.734807225898112,0.407246873815,0.8160573561835438,0.29345715443848236,0.5210365931915177,467.67513408899305,262.2434951578344,431.1083247878886,504.2419433900975
10,200,35.5,8.025697321375016,3.2089873245363596,7.578241313074949,8.473153329675084,8.05086916089058,3.1760626986365503,7.608004109235076,8.493734212546082,0.9290542458072936,1.3339439935131194,0.7430512503858425,1.1150572412287447,0.6941579134450001,0.9581496153886897,0.560555079000021,0.8277607478899792,797.7091164624691,461.5404063429589,733.352667836967,862.0655650879711
15,200,49.5,42.888084796305904,412.4641452168704,-14.625249262221594,100.4014188548334,42.92490329504013,412.4610438063864,-14.587998307819916,100.43780489790018,1.3825548602967965,1.4822453040657975,1.1758729697179278,1.5892367508756653,1.003299555935,1.0377263990178875,0.8586006633398929,1.1479984485301071,3378.870207903385,3450.8132493450203,2897.6943833263904,3860.04603248038
