metric,F_value,p_value,eta_squared
success,19.561319468785292,5.907361374325618e-09,0.06150172394887853
planning_time,1.585854796657813,0.20563407274112408,0.005284670274553292
wall_time,1.5875649353819714,0.2052845667249506,0.005290338957310092
path_length_joint,18.539242925690495,1.543998925707189e-08,0.05847617712749784
trajectory_duration,20.03720672638134,3.7807170170890775e-09,0.06290381877930196
elapsed_time_sec,125.07377144810917,4.291012363585005e-46,0.2952821441717423
