x,y,z,roll,pitch,yaw,source,reachable_by_6dof
0.0163755064510287,-0.0166539028820249,0.2778051659140323,0.0,-0.0297050891111665,-1.3138713441937857,5dof,False
0.0120728768500754,0.1456574082223571,0.2225747703801946,1.1102230246251563e-16,0.4744685613380621,1.570295996294143,5dof,True
0.1056801988668297,0.0004412885031562,0.408066643612153,3.141592653589793,-1.373760621584537,-3.1368821038201373,5dof,True
-0.1626284154435083,-0.0429985349091705,0.3739161022228645,0.0,-1.0083502237024309,-2.9001665479751257,5dof,True
-0.1117459986767143,-0.1089774429869225,0.3597464825292952,-3.141592653589793,-0.786818158708959,-2.419569190990668,5dof,True
-0.0458184285850614,0.0718602739877161,0.366075895133051,2.220446049250313e-16,-0.7643558160117802,2.2483329214545984,5dof,True
-0.1089728001411215,0.2729650837605818,0.110967397404028,0.0,-0.9525456117236764,1.987964696041767,5dof,False
0.0290037564307174,-0.0178989856497765,-0.1296603940020211,3.141592653589793,1.360329617690803,2.3305508609490118,5dof,True
-0.0019598729631448,-0.0334651778478151,-0.0004689322624746,3.141592653589793,0.2869901143289552,1.1755966498896435,5dof,False
-0.1043312697300893,0.2201984943680618,-0.0599177894083455,0.0,0.5046786682189546,2.056828219518,5dof,True
0.141618447291804,0.0501586618957268,-0.0850524124381324,-3.1415926535897927,1.228143899595414,-2.772367835847143,5dof,True
0.0031928605681751,0.0679048096025684,0.3463406372316329,3.141592653589792,-1.318230694460751,-1.4418180047702018,5dof,False
0.1620656075514253,0.1309629234438908,0.1213819530624442,-2.220446049250313e-16,0.6111192380552426,0.717528384882741,5dof,True
-0.0131424400392872,0.0231324348939226,0.3866769051433376,0.0,-0.8371285969961105,2.3978071268174315,5dof,True
-0.0270702480948606,-0.0144688954004644,0.3921281044347502,-9.992007221626409e-16,-1.4509686709226584,0.3546703855537615,5dof,True
0.0063309396722258,0.0112182265340082,0.037032127698284,3.141592653589793,0.1466494634282931,-1.1028828859410966,5dof,False
0.137399078478989,-0.0265276399246328,-0.1321453632438816,3.141592653589793,1.4642550474754086,2.933120475588308,5dof,True
0.0098208641503681,-0.0010100672683479,0.3010815456070679,-3.1415926535897927,-1.5226533522356565,-2.707554732783501,5dof,True
-0.0491455776320986,-0.2078675560565848,0.1912429667565973,0.0,-0.2954041575737516,-1.856883460739623,5dof,True
0.0214850711144533,-0.0019502303718583,0.3244997478519075,3.141592653589793,-1.148420454688433,-0.2027844208446352,5dof,False
-0.0802014074115739,0.1849946091529508,0.2718370867943726,2.220446049250313e-16,-0.7423403345147218,2.0331635246980566,5dof,True
0.2046882804393688,0.0323098824962502,0.3047695972702742,-1.3877787807814457e-17,-0.4402945177863369,0.1661340149896397,5dof,True
-0.1809992328871245,-0.0427128682940437,-0.1387574819094479,0.0,1.1886324539585988,-2.923792141854975,5dof,True
0.0177678393189089,0.1175357681879622,0.2702141586360599,-1.1102230246251563e-16,0.3259110411177992,1.5217626061081546,5dof,False
0.1185449046827395,0.0872912003662428,-0.0181211676270818,3.1415926535897927,1.2237383361341585,-2.455199548536527,5dof,True
-0.1492377307977578,0.1495761053677574,0.3120436355092381,0.0,-0.1362443961695452,2.3936965463258923,5dof,True
0.0760990703748597,0.0534212426568061,0.0347026918065555,-3.141592653589793,1.1228030001940148,-2.4468051154087345,5dof,True
