x,y,z,qx,qy,qz,qw,is_colliding,joint1,joint2,joint3,joint4
-0.10878042371201227,-0.1449324890195284,0.20712909779743205,-0.42320616762827296,0.9035788208216463,-0.028268373764554648,-0.06035522586040741,False,0.8760444114976647,-1.4249677343319993,-0.7024149767295542,-0.8808165909938205
0.018762082547225424,0.07935859853223814,0.033932838705342416,-0.07979570997603448,0.08688419718426157,0.6717007340008443,0.7313698824068393,False,1.48579245840624,0.5300984622687341,1.0873207463440515,-1.3809344842500426
-0.16702401493257496,0.09562262910346657,0.19798780303449093,0.21195356206925367,0.8466944146527335,0.11851471407093071,-0.4734326966641674,False,-0.49057967536482705,-1.4106083416857889,-0.8659498730695503,0.15465390733934004
-0.009687404660884177,-0.003649833431955893,0.21905406403422273,0.1088457954434528,0.009095031503720156,0.9905649498175452,-0.08277048634140383,False,-2.9748622387603785,-0.9034870479400545,0.3846648695606172,0.29993523381380527
-0.008604516067570473,-0.1096612212408384,0.06523813245975334,-0.21306298476720892,-0.176758379630653,-0.7395503556177372,0.6135355827155524,False,-1.7565233760781591,0.26779705162772616,0.8473483243656972,-1.676149551981516
-0.061923533216827295,0.2020609421732088,0.14205318613103018,0.4101853532669292,-0.2867087567320845,0.7096029020629006,0.4959937360111884,False,1.921519029768552,0.5944181849646806,-0.5132735020978236,-1.1293902356907617
0.06760560995032988,-0.015319776204608792,0.3063243030040144,0.9902772804865678,-0.13391972801678478,0.03729578390327802,0.0050436795177666565,False,2.872754457540087,-0.4902163646621198,-1.231037054197571,-1.345050897021187
-0.05267414353384606,0.09202892252747243,0.06072803577300265,0.7762849566096328,-0.40326519273400013,-0.4299648960608525,-0.2233585427651484,False,2.1833714969620397,0.3111780941006732,0.8406719924957025,0.9781156571663117
-0.03281779525729073,0.08225055988959351,0.050028173559201375,0.6663255841025156,-0.3957478184353754,-0.5433658189112721,-0.32271886683763196,False,2.0697105465508416,0.35555925709273817,0.9989500109012539,0.4188823730923168
-0.04245861762378947,-0.18558281323681758,0.20958262065264321,-0.5925230549671724,0.7913814096225259,-0.09016471629530466,-0.12042515423125025,False,1.2853627555683556,-1.3625268490330134,-0.8390950006105141,-0.6379461735802667
0.12412275695229733,0.06144930263711254,0.2780711104353474,0.9439985778870472,0.2417201536811182,0.2175649054683227,-0.055709641536889544,False,-2.640244876552444,-0.8016273409169095,-1.2070958547117856,-0.6798368765859619
