trial,success,planning_time,wall_time,path_length_joint,trajectory_duration,timestamp_utc,elapsed_time_sec,start_state_json,goal_pose_json,waypoints_json
47,False,10.105353355407715,10.105353355407715,0.0,0.0,2026-02-23T05:09:40.468267+00:00,487.25322675704956,"[0.0, 0.0, 0.0, 0.0]","[-0.0078719484026048, -0.1136592144097252, 0.3164150630072193, -0.2721174710473849, -0.6778917122428791, -0.1654701338721525, 0.6625968179968306]",[]
48,False,10.01717734336853,10.01717734336853,0.0,0.0,2026-02-23T05:09:50.485814+00:00,497.27077531814575,"[0.0, 0.0, 0.0, 0.0]","[0.0019735996515783, 0.0039363522083975, -0.037741491284753, 0.1286624670082385, 0.4487726880521435, -0.1865996823240314, 0.8644244342904577]",[]
49,False,10.025030851364136,10.025030851364136,0.0,0.0,2026-02-23T05:10:00.511159+00:00,507.29612040519714,"[0.0, 0.0, 0.0, 0.0]","[-0.0068630576736483, 0.0091209182044243, 0.0726323552419187, -0.4100639934936635, 0.1935103561821942, -0.1516448154352932, 0.8782967113919218]",[]
50,False,10.02053689956665,10.02053689956665,0.0,0.0,2026-02-23T05:10:10.531903+00:00,517.3168640136719,"[0.0, 0.0, 0.0, 0.0]","[0.0432521027990831, -0.108977540764823, 0.1127696998437691, 0.6741880516570109, -0.5355676377700684, 0.2754139177575206, -0.4275335662632419]",[]
51,False,10.050356149673462,10.050356149673462,0.0,0.0,2026-02-23T05:10:20.582488+00:00,527.3674485683441,"[0.0, 0.0, 0.0, 0.0]","[0.0852724711954742, 0.0273203461135968, -0.0771419447136865, -0.4655303271664676, 0.1895348852120846, 0.8642685140696442, -0.0199493700094165]",[]
52,False,10.041703701019287,10.041703701019287,0.0,0.0,2026-02-23T05:10:30.624696+00:00,537.4095890522003,"[0.0, 0.0, 0.0, 0.0]","[0.2168684087321363, 0.1806323314843506, -0.0154205960162363, 0.79294048296996, 0.4142660356515492, -0.1200175596506952, 0.4303775407109527]",[]
53,False,10.248673915863037,10.248673915863037,0.0,0.0,2026-02-23T05:10:40.874346+00:00,547.659303188324,"[0.0, 0.0, 0.0, 0.0]","[0.0217924431520546, 0.1686386213467964, 0.0175822167783476, -0.6086669779956309, -0.1742039293311276, 0.6696247614623018, 0.3883042360570088]",[]
54,False,10.255655527114868,10.255655527114868,0.0,0.0,2026-02-23T05:10:51.131990+00:00,557.9169523715973,"[0.0, 0.0, 0.0, 0.0]","[-0.003148518270626, 0.0387140872536532, 0.0160356798546601, 0.8087001972785783, -0.5422428389340226, 0.2056751346219971, 0.098358698367676]",[]
55,False,10.017029762268066,10.017029762268066,0.0,0.0,2026-02-23T05:11:01.149317+00:00,567.9342770576477,"[0.0, 0.0, 0.0, 0.0]","[0.1439405624207104, 0.0012570569478749, -0.0258572341035094, -0.3765145373453071, -0.5290216230002784, 0.7044912461794098, -0.286469910500881]",[]
56,False,10.03414273262024,10.03414273262024,0.0,0.0,2026-02-23T05:11:11.183752+00:00,577.9687130451202,"[0.0, 0.0, 0.0, 0.0]","[-0.0016581015828269, 0.0112981921508326, 0.3068007745544648, 0.8592497465360595, -0.1979894235915582, 0.4671329954031856, -0.0653974451278307]",[]
