trial,success,planning_time,wall_time,path_length_joint,trajectory_duration,timestamp_utc,elapsed_time_sec,start_state_json,goal_pose_json,waypoints_json
0,True,16.930471944,17.080641746520996,2.43647302991022,2.078201377,2026-02-25T04:25:08.744512+00:00,17.08180546760559,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.1935376270967253, -0.3107344852115217, 0.1958092629039163, 0.2090710427300747, -0.2097130021772958, 0.8529599466930057, -0.4298477464719453]","[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.009999999999999993, 0.002767752671919855, -0.003644574916379983, 0.00023146971674522403, -0.002510856789226858], [-0.039999999999999994, 0.011071010687679425, -0.014578299665519939, 0.0009258788669808967, -0.010043427156907437], [-0.08999999999999979, 0.024909774047278652, -0.032801174247419795, 0.002083227450707013, -0.022597711103041686], [-0.15999997908356306, 0.044284036961565285, -0.05831319103892764, 0.003703514983771414, -0.04017370337581199], [-0.24999993450415736, 0.06919379867036708, -0.09111434903904912, 0.005786741402600191, -0.06277140328560338], [-0.3599998495294779, 0.09963905454259589, -0.13120464214957042, 0.008332906319891158, -0.09039080663117374], [-0.48999973750173775, 0.1356198082710463, -0.17858407523316105, 0.011342010044476145, -0.12303191676256174], [-0.6399995860888759, 0.17713605644250885, -0.23325264379530897, 0.01481405229090528, -0.16069473058336337], [-0.8099994119216597, 0.22418780365996868, -0.29521035389722217, 0.01874903344413048, -0.20337925226932635], [-0.9999992101914265, 0.27677504859250673, -0.364457203786347, 0.02314695339284574, -0.25108548061306407], [-1.2025816700498175, 0.3328448630482227, -0.43828989895619175, 0.027836123852943, -0.301951035084436], [-1.3882219456078246, 0.38422549991738386, -0.5059478881330497, 0.03213313405293471, -0.34856264970831263], [-1.5538622211658306, 0.43007063144270513, -0.5663167274771477, 0.03596720481943597, -0.39015255075373545], [-1.6995024967238368, 0.4703802576241869, -0.6193964169884856, 0.03933833615244679, -0.42672073822070455], [-1.825142772281844, 0.505154378461829, -0.6651869566670638, 0.04224652805196717, -0.4582672121092201], [-1.9307830478398518, 0.5343929939556316, -0.7036883465128821, 0.04469178051799712, -0.4847919724192822], [-2.01642332339786, 0.5580961041055945, -0.7349005865259408, 0.04667409355053662, -0.5062950191508904], [-2.0820635989558682, 0.5762637089117177, -0.7588236767062395, 0.04819346714958569, -0.5227763523040451], [-2.127703874513877, 0.5888958083740016, -0.7754576170537786, 0.049249901315144326, -0.5342359718787463], [-2.1533441500718857, 0.5959924024924454, -0.7848024075685573, 0.04984339604721249, -0.5406738778749937], [-2.1594596055601474, 0.5976850093192099, -0.787031231136033, 0.04998495032217609, -0.5422093811681853]]"
1,True,3.8260610350000004,3.903002977371216,1.9745428893876502,1.609961695,2026-02-25T04:25:12.649397+00:00,20.986693859100342,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.1226325461777102, 0.0933423644989731, 0.4097088309911634, 0.5825701535407295, -0.4126174046152265, 0.5954856626736673, 0.368450429721867]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.005526300424935177, 0.0015443841089966457, -0.006070643040354294, -0.00789634415997088, 0.009999999999999997], [0.022105201699740628, 0.00617753643598656, -0.02428257216141709, -0.03158537663988341, 0.03999999999999985], [0.04973669220550746, 0.01389945373394065, -0.05463577459981271, -0.0710670808378708, 0.0899999789752488], [0.08842075852900336, 0.02471013225438684, -0.09713023562110054, -0.12634143758821814, 0.15999991265411617], [0.13815740983702954, 0.03860957455908635, -0.15176596529501513, -0.1974084599890583, 0.2499998176241931], [0.198946656288853, 0.05559778348715563, -0.21854297478151485, -0.2842681625566249, 0.3599997122689662], [0.270788473714479, 0.07567475228402963, -0.29746123752985176, -0.3869205107552283, 0.4899995528521329], [0.35368286018244777, 0.09884048040994113, -0.3885207514183166, -0.5053655018250709, 0.6399993358786612], [0.43765096596220876, 0.12230627094924817, -0.4807597463639486, -0.6253446941806169, 0.7919420449664429], [0.5105938978794756, 0.14269095803726015, -0.5608875837845475, -0.7295703877127993, 0.9239343839788889], [0.5724842289468722, 0.15998687690727886, -0.6288741351244381, -0.8180033929250403, 1.0359267229913351], [0.6233219591643988, 0.17419402755930435, -0.6847194003836203, -0.8906437098173398, 1.127919062003782], [0.6631070885320554, 0.18531240999333665, -0.7284233795620945, -0.9474913383896981, 1.1999114010162293], [0.6918396170498416, 0.19334202420937568, -0.7599860726598602, -0.9885462786421149, 1.251903740028677], [0.7095195447177576, 0.19828287020742144, -0.779407479676917, -1.0138085305745896, 1.2838960790411245], [0.716146871535803, 0.20013494798747386, -0.7866876006132654, -1.0232780941871227, 1.295888418053572], [0.7162017119817211, 0.20015027374009206, -0.7867478428631874, -1.0233564538493845, 1.2959876534220849]]"
2,True,15.572541115,15.613545417785645,3.183874346324726,2.426076955,2026-02-25T04:25:28.263674+00:00,36.600972414016724,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0589857377014579, -0.0087130748593392, 0.4654037446416507, 0.6863375523413165, 0.0008407837912164, 0.7272529313105437, 0.0065750459290182]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.009999999999999978, -0.0019414293914970608, -0.003587556498772952, 0.00037538089530551405, 0.0005144461406251783], [0.03999999999999982, -0.007765717565988226, -0.014350225995091778, 0.0015015235812220527, 0.0020577845625007088], [0.08999999999999952, -0.017472864523473495, -0.03228800848895647, 0.003378428057749616, 0.004630015265626591], [0.15999998197356535, -0.03106286676424804, -0.05740089751328209, 0.006006093648210321, 0.008231137322639899], [0.24999992991557918, -0.04853572118103119, -0.08968888732614207, 0.009384519751802607, 0.012861149910163504], [0.35999983772048255, -0.06989142658847186, -0.12915197573713283, 0.013513706139335481, 0.018520052714099317], [0.4899997177276766, -0.09512998538217768, -0.1757901671730842, 0.01839365327400648, 0.025207846369243052], [0.6399995878288127, -0.12425140103568644, -0.2296034680527273, 0.024024361827434018, 0.03292453179602383], [0.8099994350161632, -0.15725567102363963, -0.2905918737094662, 0.03040583131133285, 0.041670108325264105], [0.9999992657405585, -0.19414279659842043, -0.3587553864575729, 0.03753806196785483, 0.05144457628882435], [1.209999074352724, -0.23491277666326207, -0.4340940042703381, 0.04542105358493698, 0.06224793539607985], [1.4399988528731478, -0.2795656096689987, -0.5166077242850668, 0.05405480586304365, 0.07408018523652764], [1.6748742097974827, -0.32516500179612545, -0.6008705855986185, 0.06287157803978957, 0.0861632573262962], [1.8900896009025918, -0.3669475503755249, -0.6780803230981284, 0.07095035265944581, 0.0972349300620124], [2.0853049920077007, -0.4048472401719303, -0.7481149476000923, 0.07827836548849101, 0.10727771051647823], [2.26052038311281, -0.43886407118534143, -0.8109744591045103, 0.08485561652692518, 0.11629159868969371], [2.4157357742179193, -0.46899804341575857, -0.8666588576113824, 0.09068210577474836, 0.12427659458165886], [2.550951165323028, -0.49524915686318155, -0.9151681431207086, 0.09575783323196047, 0.1312326981923736], [2.666166556428138, -0.5176174115276104, -0.956502315632489, 0.10008279889856157, 0.137159909521838], [2.7613819475332466, -0.5361028074090451, -0.9906613751467234, 0.10365700277455163, 0.14205822857005204], [2.8365973386383554, -0.5507053445074857, -1.0176453216634114, 0.10648044485993063, 0.1459276553370157], [2.8918127297434646, -0.561425022822932, -1.037454155182554, 0.10855312515469864, 0.14876818982272905], [2.927028120848575, -0.5682618423553847, -1.050087875704151, 0.10987504365885568, 0.15057983202719208], [2.942243511953686, -0.5712158031048431, -1.0555464832282022, 0.11044620037240167, 0.15136258195040478], [2.942923519563167, -0.571347821780792, -1.0557904398000633, 0.11047172655892784, 0.1513975646794341]]"
3,True,5.53671369,5.585835218429565,2.3885879709062734,1.728054566,2026-02-25T04:25:33.850017+00:00,42.18731498718262,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.010738297170193, -0.2872225189698142, 0.3187732498193567, -0.5335834362582544, 0.6956385718456688, 0.2306045797883283, -0.4221341276087496]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.009999999999999969, -0.006701064146976309, -0.006158059445933387, -0.00594095826477594, -0.0061485394557097926], [0.039999999999999834, -0.026804256587905206, -0.024632237783733517, -0.023763833059103734, -0.024594157822839142], [0.08999995027233909, -0.0603095439999624, -0.05542250439081144, -0.05346859483998781, -0.055336824526139784], [0.15999982337780988, -0.1072169079959587, -0.09852884236993986, -0.09505522730590933, -0.09837652269450652], [0.24999963239861075, -0.16752635734235927, -0.1539512597772144, -0.14852373822894777, -0.1537132603715807], [0.35999939111407636, -0.2412379012727846, -0.22168976509803123, -0.21387413579534845, -0.22134704602964064], [0.48999911021143944, -0.32835154694881796, -0.30174436491365186, -0.2911064263543517, -0.3012778862397736], [0.639998773943589, -0.42886728381821926, -0.39411504952691157, -0.3802206005506645, -0.3935057713198061], [0.8074104488513065, -0.5410509210691555, -0.4972081541294119, -0.4796791779169635, -0.4964395001714626], [0.9630213620675651, -0.6453267922123271, -0.5930342795315824, -0.5721269720131101, -0.5921174841363828], [1.0986322752838238, -0.7362005350615461, -0.6765442860418861, -0.6526928495797049, -0.6754983891898834], [1.2142431885000795, -0.8136721496168102, -0.747738173660321, -0.7213768106167459, -0.7465822153319623], [1.3098541017163359, -0.8777416358781223, -0.8066159423868896, -0.7781788551242353, -0.8053689625626222], [1.3854650149325927, -0.9284089938454823, -0.853177592221592, -0.8230989831021733, -0.851858630881863], [1.4410759281488492, -0.9656742235188893, -0.8874231231644272, -0.8561371945505593, -0.8860512202896839], [1.4766868413651062, -0.9895373248983437, -0.9093525352153956, -0.8772934894693932, -0.9079467307860851], [1.492297754581363, -0.9999982979838453, -0.9189658283744974, -0.8865678678586753, -0.9175451623710668], [1.4930848132593733, -1.0005257110527235, -0.9194505037871599, -0.8870354561344742, -0.9180290885046373]]"
4,False,20.05052638053894,20.05052638053894,0.0,0.0,2026-02-25T04:25:53.901043+00:00,62.23833894729614,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0174718680199702, 0.0458785652019752, 0.0021501966913656, 0.7645755545016105, -0.0971891105155138, -0.620244985368022, 0.1458583435446195]",[]
5,False,20.0202374458313,20.0202374458313,0.0,0.0,2026-02-25T04:26:13.923221+00:00,82.26051878929138,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0085174115787493, -0.0478815683431006, 0.3108897559460453, 0.6931717117627907, -0.1379232189686657, 0.6971896792364888, 0.1200696249985232]",[]
6,False,20.014365434646606,20.014365434646606,0.0,0.0,2026-02-25T04:26:33.938228+00:00,102.27552485466003,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.054980724786662, 0.079126005921597, 0.3192780072603955, 0.2290220232293713, -0.784398293963334, -0.2066518604860152, 0.5381108044455203]",[]
7,False,20.05697226524353,20.05697226524353,0.0,0.0,2026-02-25T04:26:53.995642+00:00,122.33293914794922,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.2012898750205956, 0.2307316817015223, 0.178895371759033, -0.3074557796670428, -0.7728991404501373, -0.1831999913772054, 0.523961473202145]",[]
8,True,1.156136342,1.2327606678009033,3.2505937451705016,2.192357231,2026-02-25T04:26:55.233549+00:00,123.5708441734314,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0620664992971213, 0.0664012053843841, 0.3599198656943693, 0.4366291655991218, 0.68001403145002, 0.5879611189748529, -0.0351797008677547]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.010000000000000004, -0.0038235691290943864, -0.0007338605226803439, 0.0020280207384343082, 0.007980125219386848], [0.03999999999999991, -0.015294276516377507, -0.0029354420907213683, 0.008112082953737212, 0.03192050087754731], [0.08999999862046466, -0.03441212163437459, -0.006604744602884441, 0.01825218636613614, 0.07182112587359514], [0.15999992319637474, -0.061177076699113105, -0.011741762726570642, 0.03244831623901444, 0.12768194221993484], [0.24999980240886976, -0.09558915267702504, -0.018346498566575577, 0.050700478388966685, 0.19950297280447496], [0.35999964525940864, -0.1376483530098805, -0.026418952783480793, 0.07300867464150745, 0.2872842248104925], [0.4899994623391851, -0.18735468174729547, -0.03595912615453217, 0.09937290714455276, 0.39102570668989256], [0.6399992304534867, -0.2447081300206115, -0.046967016977561345, 0.12979317119416686, 0.5107273999330042], [0.8099989439066584, -0.3097086956520553, -0.059442624834586656, 0.16426946563525902, 0.6463892999946234], [0.9999986132004557, -0.38235638265704586, -0.07338595049629051, 0.20280179259760708, 0.7980114152552826], [1.209969071266263, -0.46264003880526866, -0.08879485350665095, 0.2453842369392079, 0.9655704700289984], [1.4184405176448664, -0.5423505374723571, -0.1040937499669839, 0.2876626786019283, 1.131933294705793], [1.6069119640234688, -0.6144138978812561, -0.11792492538195601, 0.32588507878777967, 1.2823358689438127], [1.7753834104020698, -0.6788301200319661, -0.1302883797515674, 0.36005143749676244, 1.4167781927430583], [1.923854856780669, -0.7355992039244865, -0.14118411307581794, 0.39016175472887604, 1.5352602661035282], [2.052326303159269, -0.7847211495588186, -0.15061212535470786, 0.41621603048412126, 1.6377820890252253], [2.1607977495378705, -0.8261959569349622, -0.15857241658823718, 0.4382142647624981, 1.7243436615081498], [2.2492691959164706, -0.8600236260529167, -0.16506498677640574, 0.45615645756400613, 1.7949449835522997], [2.3177406422950724, -0.8862041569126828, -0.1700898359192137, 0.47004260888864574, 1.849586055157677], [2.3662120886736737, -0.9047375495142603, -0.17364696401666097, 0.4798727187364168, 1.8882668763242805], [2.394683535052275, -0.9156238038576491, -0.17573637106874757, 0.48564678710731923, 1.9109874470521102], [2.4032133933352133, -0.9188852541382683, -0.17636234369453818, 0.4873766600566896, 1.9177943807722573]]"
9,False,20.030028343200684,20.030028343200684,0.0,0.0,2026-02-25T04:27:15.264437+00:00,143.6017348766327,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.2954785714530106, 0.1330519929547787, 0.1193597674840028, 0.1791170342356581, 0.93583065418044, -0.0161757699868443, 0.3031112324018435]",[]
