trial,start_state_id,success,planning_time,wall_time
0,0,True,0.010252515,0.024185895919799805
1,1,True,0.017245272,0.025795698165893555
2,2,True,0.018867492,0.03654956817626953
3,3,True,0.020105641,0.026738405227661133
4,4,True,0.017315654,0.025545358657836914
5,0,True,0.005678753,0.01335453987121582
6,1,True,0.020475117,0.028485536575317383
7,2,True,0.016447327,0.028188228607177734
8,3,True,0.016579141999999998,0.026534318923950195
9,4,True,0.016828242,0.0260317325592041
10,0,True,0.020408406,0.029394149780273438
11,1,True,0.017232351,0.02984166145324707
12,2,True,0.019295258000000003,0.027274608612060547
13,3,True,0.019307503,0.025495052337646484
14,4,True,0.015586781000000001,0.022902965545654297
15,0,True,0.018348,0.02475428581237793
16,1,True,0.016757636,0.02471446990966797
17,2,True,0.008550844,0.01651453971862793
18,3,True,0.016958598,0.029358386993408203
19,4,True,0.006148232,0.011893749237060547
20,0,True,0.008437425,0.014258146286010742
21,1,True,0.004311764,0.010940313339233398
22,2,True,0.018784572,0.02759242057800293
23,3,True,0.007585798,0.01525735855102539
24,4,True,0.020263937000000003,0.029314279556274414
25,0,True,0.0074011979999999995,0.015358209609985352
26,1,True,0.016671993,0.023108482360839844
27,2,True,0.015905876,0.02293229103088379
28,3,True,0.017274761,0.023081541061401367
29,4,True,0.007673097,0.014085769653320312
30,0,True,0.01844737,0.024969816207885742
31,1,True,0.016888713,0.02446436882019043
32,2,True,0.019638437,0.031156539916992188
33,3,True,0.014849221,0.023914813995361328
34,4,True,0.008333621,0.01568913459777832
35,0,True,0.016100263,0.022550106048583984
36,1,True,0.015068108,0.020640850067138672
37,2,True,0.017726369999999998,0.024606704711914062
38,3,True,0.008032358,0.012514829635620117
39,4,True,0.015980706,0.021822214126586914
40,0,True,0.006715256,0.017963647842407227
41,1,True,0.018606344,0.025870323181152344
42,2,True,0.019396395,0.028284788131713867
43,3,True,0.019588635,0.027076244354248047
44,4,True,0.016585715,0.02588820457458496
45,0,True,0.007999335,0.014511346817016602
46,1,True,0.006732372,0.01282191276550293
47,2,True,0.015577893,0.02305912971496582
48,3,True,0.006190561,0.012756824493408203
49,4,True,0.015957746000000002,0.021607637405395508
