trial,start_state_id,success,planning_time,wall_time
0,0,True,0.019699300000000003,0.03778886795043945
1,1,True,0.005064132,0.01202392578125
2,2,True,0.016454614,0.02744126319885254
3,3,True,0.019951337,0.031134605407714844
4,4,True,0.017565996,0.02477431297302246
5,0,True,0.007993538,0.019342660903930664
6,1,True,0.008039352,0.019060134887695312
7,2,True,0.017709278000000002,0.0231475830078125
8,3,True,0.007627124,0.013211488723754883
9,4,True,0.004098019,0.008296489715576172
10,0,True,0.004290506,0.010384321212768555
11,1,True,0.016430939999999998,0.02266383171081543
12,2,True,0.016120105,0.02267003059387207
13,3,True,0.007404943000000001,0.01645040512084961
14,4,True,0.004111511,0.009818077087402344
15,0,True,0.007044594,0.015097618103027344
16,1,True,0.015609118,0.022627830505371094
17,2,True,0.015253701,0.022150754928588867
18,3,True,0.006876058000000001,0.011979818344116211
19,4,True,0.004459124,0.011620521545410156
20,0,True,0.006140998,0.012583732604980469
21,1,True,0.005054042999999999,0.011536598205566406
22,2,True,0.007307900000000001,0.013592958450317383
23,3,True,0.015485520999999999,0.02185988426208496
24,4,True,0.008561056,0.018527984619140625
25,0,True,0.016657735,0.024684429168701172
26,1,True,0.015115661999999998,0.02173471450805664
27,2,True,0.006505021000000001,0.013969182968139648
28,3,True,0.019294805,0.027686357498168945
29,4,True,0.01846567,0.025990009307861328
30,0,True,0.005342024,0.012489795684814453
31,1,True,0.006082013,0.011300325393676758
32,2,True,0.004542019,0.010383129119873047
33,3,True,0.015450227,0.023100614547729492
34,4,True,0.010195322,0.02452874183654785
35,0,True,0.007892177,0.01513361930847168
36,1,True,0.008865755,0.020112037658691406
37,2,True,0.007225551,0.013509035110473633
38,3,True,0.014753097,0.01969766616821289
39,4,True,0.017052931,0.023906230926513672
40,0,True,0.018631604,0.023770809173583984
41,1,True,0.009377518,0.018220901489257812
42,2,True,0.004684448,0.012465238571166992
43,3,True,0.015714069,0.022240400314331055
44,4,True,0.005070705,0.010890007019042969
45,0,True,0.015427432,0.021174192428588867
46,1,True,0.015345798,0.02220916748046875
47,2,True,0.005631592,0.013332605361938477
48,3,True,0.006520616999999999,0.012861490249633789
49,4,True,0.003159669,0.007707357406616211
