trial,x,y,z,j1,j2,j3,j4,j5,success
0,0.2614896214787279,0.1075135808786617,0.1331587570585532,-0.21250294614583254,-0.4696636665612459,0.3081336281728,0.9070130495587365,0.0,True
1,-0.1545965313081901,0.0630728900067727,-0.1845288942731947,-1.252333919517696,-0.433091125683859,0.44904481796547757,-0.10891791596775868,0.0,True
2,0.0703488468386476,-0.3420037150042929,0.0551306566156112,2.748935277108103,-0.5091643156483768,0.46179585382342325,0.691639151482377,0.0,True
3,0.1791616559190021,-0.2322188056685051,0.1622263105418187,-1.8576391492970286,-1.0367303404491395,-1.0545562078012154,-0.5408350983797572,0.0,True
4,0.2271960954532126,-0.2779535388395874,0.1180599097975327,-1.8723396202549338,-1.3595991090405732,-0.285931881889701,0.46783884275471777,0.0,True
5,0.0733553643349467,-0.10637973932933,-0.0031909434347545,0.2902357899583876,-0.2402149213012308,-0.7618822723859922,-1.5164637131220662,0.0,True
6,0.1584460638621542,-0.0169079014452481,0.3281516592549471,-1.4547626967541871,-1.2755520783830432,-0.38541256217285985,0.7363739031087608,0.0,True
7,0.0467176872326872,-0.2884804179374341,-0.1093012381943207,1.5750436023809016,0.1898743794299662,0.8265558143611997,-0.6139301178441383,0.0,True
8,0.0395561198309564,0.0835492776113444,0.3099613769903657,-0.3065850888378918,-1.333679781993851,0.3195126625709235,-0.8839452667161822,0.0,True
9,0.1494120279425244,0.0592773014238507,-0.0224096066319311,-0.9922609319910407,-0.1107009002007544,0.817060615401715,1.050827439664863,0.0,True
10,0.241967006928399,0.1156252235681333,-0.1313473440723753,2.6163471448235214,0.6394427621271461,-0.39905252333264807,0.379726003143005,0.0,True
11,-0.1579783258550884,-0.1329247727373935,0.2584488259739054,1.3248957730829716,-0.8837386281229556,1.0063388150651007,1.1786296473816036,0.0,True
12,0.0046821215610371,0.1993254190620694,0.0112980665513655,0.17235902510583398,0.42671717586927116,0.8473500179126856,-1.1417677692812869,0.0,True
13,-0.1367414774249115,-0.3008862785996737,0.1364529568030964,-1.2607355508953333,-0.5182147203013301,0.1503891525091603,-1.672891314229928,0.0,True
14,-0.1573181803367897,-0.2203299286105491,0.0081096661938262,-0.31687509175390005,0.3138506810646504,-0.5337549967691303,1.357851396428887,0.0,True
15,-0.1602212091378805,-0.1163623300344512,-0.1444307421660798,-0.6487527913413942,-0.1998729044571519,0.507482290570624,-1.632209636364132,0.0,True
16,-0.1090867619622296,0.0479280153315291,-0.1465030905042674,-0.029997108969837427,-1.4179200713988394,-0.25722009409219027,-0.07106775395572185,0.0,True
17,-0.0553428406331208,-0.128969567536567,-0.146851895555402,-1.0088706342503428,0.7636374367866665,-1.3396432641195133,-0.004712457549758353,0.0,True
18,0.2696275392584706,-0.0154323969169763,0.279489821805242,-0.9804622186347842,1.273033435922116,0.3066689576720818,0.3038372122892177,0.0,True
19,-0.0084198800449259,0.1552595433618589,0.1926910609380367,1.3236368894577026,0.7143370478879659,-0.9267022165236993,0.9026465972815637,0.0,True
20,0.165667620579594,-0.1650081661501339,0.2340151242931914,-0.5252774837426841,-0.08753828960470855,0.1354257083730772,0.29344508681911985,0.0,True
