success,solve_time,solution_count,iterations,residual,diversity
1,0.007447481155395508,1,1,1e-06,0.0
1,0.004031181335449219,1,1,1e-06,0.0
1,0.003336191177368164,1,1,1e-06,0.0
1,0.036284685134887695,1,1,1e-06,0.0
1,0.004113435745239258,1,1,1e-06,0.0
1,0.003977298736572266,1,1,1e-06,0.0
1,0.023974180221557617,1,1,1e-06,0.0
1,0.0029337406158447266,1,1,1e-06,0.0
1,0.003263711929321289,1,1,1e-06,0.0
1,0.004263639450073242,1,1,1e-06,0.0
1,0.004320621490478516,1,1,1e-06,0.0
1,0.004654645919799805,1,1,1e-06,0.0
1,0.12720346450805664,1,1,1e-06,0.0
1,0.05528736114501953,1,1,1e-06,0.0
1,0.009835004806518555,1,1,1e-06,0.0
1,0.003433704376220703,1,1,1e-06,0.0
1,0.0026869773864746094,1,1,1e-06,0.0
1,0.010622024536132812,1,1,1e-06,0.0
1,0.014765739440917969,1,1,1e-06,0.0
1,0.033284902572631836,1,1,1e-06,0.0
1,0.05830073356628418,1,1,1e-06,0.0
1,0.030710458755493164,1,1,1e-06,0.0
1,0.00281524658203125,1,1,1e-06,0.0
1,0.005293130874633789,1,1,1e-06,0.0
1,0.019970417022705078,1,1,1e-06,0.0
1,0.003171205520629883,1,1,1e-06,0.0
1,0.0034394264221191406,1,1,1e-06,0.0
1,0.0023488998413085938,1,1,1e-06,0.0
1,0.002580404281616211,1,1,1e-06,0.0
1,0.011182308197021484,1,1,1e-06,0.0
1,0.0060405731201171875,1,1,1e-06,0.0
1,0.004140138626098633,1,1,1e-06,0.0
1,0.026349544525146484,1,1,1e-06,0.0
1,0.0027883052825927734,1,1,1e-06,0.0
1,0.009903669357299805,1,1,1e-06,0.0
1,0.003913164138793945,1,1,1e-06,0.0
1,0.0035843849182128906,1,1,1e-06,0.0
1,0.0043985843658447266,1,1,1e-06,0.0
1,0.0037894248962402344,1,1,1e-06,0.0
1,0.021981477737426758,1,1,1e-06,0.0
1,0.005155086517333984,1,1,1e-06,0.0
1,0.003175020217895508,1,1,1e-06,0.0
1,0.009676933288574219,1,1,1e-06,0.0
1,0.01716446876525879,1,1,1e-06,0.0
1,0.009052753448486328,1,1,1e-06,0.0
1,0.004135608673095703,1,1,1e-06,0.0
1,0.0032339096069335938,1,1,1e-06,0.0
1,0.003592252731323242,1,1,1e-06,0.0
1,0.0034890174865722656,1,1,1e-06,0.0
1,0.003195524215698242,1,1,1e-06,0.0
1,0.0032241344451904297,1,1,1e-06,0.0
1,0.004946231842041016,1,1,1e-06,0.0
1,0.0062103271484375,1,1,1e-06,0.0
1,0.007850170135498047,1,1,1e-06,0.0
1,0.014066219329833984,1,1,1e-06,0.0
1,0.004555463790893555,1,1,1e-06,0.0
1,0.00602269172668457,1,1,1e-06,0.0
1,0.0062847137451171875,1,1,1e-06,0.0
1,0.005450010299682617,1,1,1e-06,0.0
1,0.004082441329956055,1,1,1e-06,0.0
1,0.021824121475219727,1,1,1e-06,0.0
1,0.010732412338256836,1,1,1e-06,0.0
1,0.0037050247192382812,1,1,1e-06,0.0
1,0.0493159294128418,1,1,1e-06,0.0
1,0.08894014358520508,1,1,1e-06,0.0
1,0.003545999526977539,1,1,1e-06,0.0
1,0.005995273590087891,1,1,1e-06,0.0
1,0.00429534912109375,1,1,1e-06,0.0
1,0.0032351016998291016,1,1,1e-06,0.0
1,0.003764629364013672,1,1,1e-06,0.0
1,0.0252377986907959,1,1,1e-06,0.0
1,0.002966642379760742,1,1,1e-06,0.0
1,0.0062029361724853516,1,1,1e-06,0.0
1,0.07365989685058594,1,1,1e-06,0.0
1,0.003784656524658203,1,1,1e-06,0.0
1,0.004075527191162109,1,1,1e-06,0.0
1,0.0024411678314208984,1,1,1e-06,0.0
1,0.0024421215057373047,1,1,1e-06,0.0
1,0.045861244201660156,1,1,1e-06,0.0
1,0.0033407211303710938,1,1,1e-06,0.0
1,0.0032978057861328125,1,1,1e-06,0.0
1,0.0029871463775634766,1,1,1e-06,0.0
1,0.0028581619262695312,1,1,1e-06,0.0
1,0.0060765743255615234,1,1,1e-06,0.0
1,0.003434896469116211,1,1,1e-06,0.0
1,0.0032553672790527344,1,1,1e-06,0.0
1,0.004062652587890625,1,1,1e-06,0.0
1,0.029906749725341797,1,1,1e-06,0.0
1,0.006916046142578125,1,1,1e-06,0.0
1,0.0044672489166259766,1,1,1e-06,0.0
1,0.0032308101654052734,1,1,1e-06,0.0
1,0.018027782440185547,1,1,1e-06,0.0
1,0.0032553672790527344,1,1,1e-06,0.0
1,0.0043125152587890625,1,1,1e-06,0.0
1,0.003368854522705078,1,1,1e-06,0.0
1,0.011053323745727539,1,1,1e-06,0.0
1,0.00744175910949707,1,1,1e-06,0.0
1,0.002881288528442383,1,1,1e-06,0.0
1,0.0065691471099853516,1,1,1e-06,0.0
1,0.0036313533782958984,1,1,1e-06,0.0
1,0.015600204467773438,1,1,1e-06,0.0
1,0.003169536590576172,1,1,1e-06,0.0
1,0.012791872024536133,1,1,1e-06,0.0
1,0.002762317657470703,1,1,1e-06,0.0
1,0.02361917495727539,1,1,1e-06,0.0
1,0.016678333282470703,1,1,1e-06,0.0
1,0.0032842159271240234,1,1,1e-06,0.0
1,0.0057413578033447266,1,1,1e-06,0.0
1,0.007408618927001953,1,1,1e-06,0.0
1,0.0055713653564453125,1,1,1e-06,0.0
1,0.007344245910644531,1,1,1e-06,0.0
1,0.004021406173706055,1,1,1e-06,0.0
1,0.004189729690551758,1,1,1e-06,0.0
1,0.004830360412597656,1,1,1e-06,0.0
1,0.023702383041381836,1,1,1e-06,0.0
1,0.0028765201568603516,1,1,1e-06,0.0
1,0.005592823028564453,1,1,1e-06,0.0
1,0.05085921287536621,1,1,1e-06,0.0
1,0.003589153289794922,1,1,1e-06,0.0
1,0.004021644592285156,1,1,1e-06,0.0
1,0.007541656494140625,1,1,1e-06,0.0
1,0.0034618377685546875,1,1,1e-06,0.0
1,0.00600433349609375,1,1,1e-06,0.0
1,0.003144502639770508,1,1,1e-06,0.0
1,0.004808902740478516,1,1,1e-06,0.0
1,0.0031621456146240234,1,1,1e-06,0.0
1,0.005158662796020508,1,1,1e-06,0.0
1,0.004149198532104492,1,1,1e-06,0.0
1,0.004636526107788086,1,1,1e-06,0.0
1,0.0045223236083984375,1,1,1e-06,0.0
1,0.03225851058959961,1,1,1e-06,0.0
1,0.004670858383178711,1,1,1e-06,0.0
1,0.003599882125854492,1,1,1e-06,0.0
1,0.004099369049072266,1,1,1e-06,0.0
1,0.04055643081665039,1,1,1e-06,0.0
1,0.004727363586425781,1,1,1e-06,0.0
1,0.005785703659057617,1,1,1e-06,0.0
1,0.004736423492431641,1,1,1e-06,0.0
1,0.02969980239868164,1,1,1e-06,0.0
1,0.003230571746826172,1,1,1e-06,0.0
1,0.002295970916748047,1,1,1e-06,0.0
1,0.002505779266357422,1,1,1e-06,0.0
1,0.0030527114868164062,1,1,1e-06,0.0
1,0.0029997825622558594,1,1,1e-06,0.0
1,0.02203226089477539,1,1,1e-06,0.0
1,0.0057218074798583984,1,1,1e-06,0.0
1,0.003415822982788086,1,1,1e-06,0.0
1,0.0038487911224365234,1,1,1e-06,0.0
1,0.003950834274291992,1,1,1e-06,0.0
1,0.02070760726928711,1,1,1e-06,0.0
1,0.008084535598754883,1,1,1e-06,0.0
1,0.004013538360595703,1,1,1e-06,0.0
1,0.0042798519134521484,1,1,1e-06,0.0
1,0.0055463314056396484,1,1,1e-06,0.0
1,0.003403186798095703,1,1,1e-06,0.0
1,0.006192207336425781,1,1,1e-06,0.0
1,0.003576993942260742,1,1,1e-06,0.0
1,0.00412440299987793,1,1,1e-06,0.0
1,0.005295276641845703,1,1,1e-06,0.0
1,0.006231069564819336,1,1,1e-06,0.0
1,0.005364179611206055,1,1,1e-06,0.0
1,0.0034024715423583984,1,1,1e-06,0.0
1,0.004679203033447266,1,1,1e-06,0.0
1,0.00616455078125,1,1,1e-06,0.0
1,0.02419590950012207,1,1,1e-06,0.0
1,0.004271268844604492,1,1,1e-06,0.0
1,0.004911661148071289,1,1,1e-06,0.0
1,0.004162788391113281,1,1,1e-06,0.0
1,0.024734973907470703,1,1,1e-06,0.0
1,0.004174470901489258,1,1,1e-06,0.0
1,0.0044994354248046875,1,1,1e-06,0.0
