x,y,z,qx,qy,qz,qw,joint1,joint2,joint3,joint4,fk_success,ik_success,planning_success,failure_reason
-0.1087804237120122,-0.1449324890195284,0.207129097797432,-0.4232061676282729,0.9035788208216464,-0.0282683737645546,-0.0603552258604074,0.8760444114976647,-1.4249677343319993,-0.7024149767295542,-0.8808165909938205,1,1,0,PLANNING_FAILED
0.0187620825472254,0.0793585985322381,0.0339328387053424,-0.0797957099760344,0.0868841971842615,0.6717007340008443,0.7313698824068393,1.48579245840624,0.5300984622687341,1.0873207463440515,-1.3809344842500426,1,1,0,PLANNING_FAILED
-0.1670240149325749,0.0956226291034665,0.1979878030344909,0.2119535620692536,0.8466944146527335,0.1185147140709307,-0.4734326966641674,-0.490579675364827,-1.4106083416857889,-0.8659498730695503,0.15465390733934,1,1,0,PLANNING_FAILED
-0.0096874046608841,-0.0036498334319558,0.2190540640342227,0.1088457954434528,0.0090950315037201,0.9905649498175452,-0.0827704863414038,-2.9748622387603785,-0.9034870479400544,0.3846648695606172,0.2999352338138052,1,1,0,PLANNING_FAILED
-0.0086045160675704,-0.1096612212408384,0.0652381324597533,-0.2130629847672089,-0.176758379630653,-0.7395503556177372,0.6135355827155524,-1.7565233760781591,0.2677970516277261,0.8473483243656972,-1.676149551981516,1,1,0,PLANNING_FAILED
-0.0619235332168272,0.2020609421732088,0.1420531861310301,0.4101853532669292,-0.2867087567320845,0.7096029020629006,0.4959937360111884,1.921519029768552,0.5944181849646806,-0.5132735020978236,-1.1293902356907617,1,1,0,PLANNING_FAILED
0.0676056099503298,-0.0153197762046087,0.3063243030040144,0.9902772804865678,-0.1339197280167847,0.037295783903278,0.0050436795177666,2.872754457540087,-0.4902163646621198,-1.231037054197571,-1.345050897021187,1,1,0,PLANNING_FAILED
-0.052674143533846,0.0920289225274724,0.0607280357730026,0.7762849566096328,-0.4032651927340001,-0.4299648960608525,-0.2233585427651484,2.18337149696204,0.3111780941006732,0.8406719924957025,0.9781156571663115,1,1,0,PLANNING_FAILED
0.2023201802589836,0.0440862438617574,-0.0503863811509549,-0.0706616271807019,0.6181692401051372,0.0889084033526414,0.7777975448953903,0.2276278119353341,1.419347291938112,-0.4022503060957749,0.3259891167727431,1,1,0,PLANNING_FAILED
-0.0328177952572907,0.0822505598895935,0.0500281735592013,0.6663255841025156,-0.3957478184353754,-0.5433658189112721,-0.3227188668376319,2.0697105465508416,0.3555592570927381,0.998950010901254,0.4188823730923168,1,1,0,PLANNING_FAILED
