j1,j2,j3,j4,j5
1.7161079350052877,0.4899694589666317,-1.3085043645488534,1.0857542485386806,2.0724067823899044
-3.0131548340461443,-0.0040101173174711,0.4634188354511477,-1.000033815958254,1.1918084626030043
1.2260010732758255,0.3285611370644827,-1.1570547645488534,-0.1117396528119463,-0.3986730618830281
2.4838653193420512,-0.420410056351155,-0.3320627645488532,-0.1355410450889735,-2.451114834985958
1.7743992049449415,-1.0916491967260975,-1.1943603645488534,-0.9847485181656676,2.1195893518865243
0.1123310212708497,-0.7770630055966966,-0.3842163645488532,1.585583486356257,0.0010919814883272
-2.724766445923644,-1.1547493339003088,-0.7569011645488531,0.9259137059076344,2.847058787034397
-1.93246536898071,0.0848482884133621,-0.7413107645488531,0.1817380648057127,2.8204649751363022
2.1080400263100687,-1.1360021916963765,-0.2930867645488531,1.415261596667437,2.721381579193402
1.755991435490314,-1.0395229964517492,-1.357688364548853,-0.3198380641881588,-2.43267073963728
2.671777965858042,-1.0259579911171963,-1.1225331645488534,1.2831529514600823,0.8049113927307276
-2.573669338316908,0.3372488371102076,-0.645726764548853,-0.0337846340697554,1.3011862373451677
-2.493135346952912,0.029521356543221,-1.2704563645488534,0.3902731989759986,0.9069973158234136
1.8733409657635656,-0.8538805638957363,-0.3767923645488533,-1.1474277589581945,0.8392259887282689
0.6055058445760833,0.3006690474439979,-1.1897203645488532,0.9885834268572388,-2.9902829245973237
-1.2045914851289732,0.1689818046456441,-0.0974643645488531,-0.3892769884459082,-0.6641822484140021
-0.6730671421265986,0.1118258832921914,-0.5002163645488532,-0.3617634524192528,3.011339915372625
2.972438200283628,-0.1987974972900363,-0.7930931645488533,1.475747703646671,1.262582316847933
-1.9010187628290545,-1.171210239250103,-1.2509683645488534,-0.6301296093776632,2.318614008672262
0.0440688762099386,0.2334536839323382,-0.9484403645488532,0.6951057092395792,2.493189515809753
-0.2036690210335923,0.1543498887791601,-0.3459827645488531,0.1273660769435127,0.9571824124698174
2.7546129284038665,0.2799404999664792,-0.2743411645488529,-0.4115498509436772,-3.0782140768410224
-1.0519603967343518,-0.5763314098033725,0.2358732354511474,0.4691016633063374,-1.7562442660357496
-2.880465495894036,0.2700334735985477,-0.4304307645488532,-0.7842927556857485,0.0178203470371283
-0.1614845493667371,0.2846653894650313,-0.3702963645488533,-0.872292398691639,-2.711905764567271
-0.3026107818522163,-0.0697013229263723,-1.1553843645488533,0.2824026688397458,-2.0466315346649417
-0.7873487108240789,0.0331793355098417,-0.3341043645488533,0.4025014372100679,-0.1074279283538968
-1.3702614102206223,-1.1478906233378945,0.2087756354511474,0.8946880261313506,2.888665234681416
-0.2389505791549622,-0.9851105593232627,-1.3083187645488532,-0.3532473579348119,0.1971141111242813
-2.600514002104907,-0.7679180581801444,-0.1884083645488532,1.0069257842083423,-2.998861573596709
1.517457422974097,-0.6069669836488231,-0.1540723645488531,0.7464206375432616,-2.874042230655653
1.8541662059149957,0.1826992257704727,-0.9168883645488533,0.2900453177360389,2.342205293420572
-0.0786495868209127,0.1717252888706095,-0.572600364548853,0.5330815526381636,1.167359312954756
-2.846717918560552,-0.8383341532875974,-1.3686387645488531,1.863120821990219,-0.4222643466313371
-1.6555818367673518,-0.0600991281389924,-0.4389683645488531,0.3435438600100917,-1.9372537599227797
-0.0878534715482266,-1.0322070385185074,-0.7368563645488532,-0.476403185863651,-0.3386225188873313
1.1470010626997142,-1.1068907757536848,-1.1030451645488533,-0.6775140325346809,-0.4076806433323825
2.6426323308882145,0.1525208992958497,-0.4361843645488532,-0.1776847947171047,-2.980846410698
0.880088405607613,-0.5732830939978553,0.5163148354511473,-0.7880048994353767,2.729960228192788
1.0373214363658914,0.3852598110471072,-1.3398707645488532,1.294507744106004,1.4946347722813056
