x,y,z,roll,pitch,yaw
0.05202403880018534,-0.06183544078120397,0.16505114992592262,-2.2585619161378077,0.7058079703844005,-0.9963447880305569
0.06860950377046605,0.09310115917159012,-0.09753045410804764,0.541356457775871,0.4092837167943615,1.024483869138724
0.30229704619978987,0.19682341549916996,0.14578930824580716,0.7143716834031065,0.25416071750363023,0.5958125337638579
-0.0691033798065039,0.26170606341702934,-0.12637434719118634,3.0987383198837417,0.32596798042738717,1.8713131001295353
-0.2974797375955148,-0.09332700432270956,0.10405476795816945,3.0289834770471846,0.7283203581543689,-2.8487044089293394
0.05934920018453983,0.153889636538838,0.20563661928194443,-1.857463041316361,0.4649309062695499,1.2723060454755615
-0.06749242664836659,-0.04176738448204559,-0.04142512057238047,1.84279204339752,1.3097989119507392,0.48378086460276626
0.16180921242074064,-0.10798222858415082,-0.01020646814534791,-0.6984868898504286,0.829384077622604,-0.6245486177214568
0.29507927192887135,0.12379517503451182,0.32724572203780744,-0.30283584934064717,-0.7813205619127693,0.4122562295044147
0.3341449092608636,0.017830881817351533,0.1908815019729373,-2.0759097172005387,0.23408795430571705,0.05529407836508238
0.007831513915286654,-0.18458723479180372,-0.15308681763354282,-2.747832952416427,0.7948550066003182,-1.5933752320530394
0.032054425711118315,-0.1584016074317755,0.35111047402717244,-2.1708541589957315,-0.3580075843046209,-1.4448613988587293
0.20986209857714172,-0.23004899234457318,0.21142818463784127,-1.4956499151702571,0.3275763146567263,-0.8604754326462548
-0.3008610490512214,0.14252473366391416,0.06737454667512775,-3.0455233146561174,0.7409029831220635,2.7141306046646996
-0.25260815497042705,-0.10693561783833372,0.0704592833108722,-1.0024995462835358,1.0228798151872058,-2.7575325556259855
-0.08633580674361639,-0.09490711630311738,0.38673405077755507,1.149456992373638,-1.2671167273513912,0.7676571219230581
-0.06539857211018982,0.17637830525632425,0.18088513231805034,0.5194644459272945,-0.010398718100023796,1.9843153265397442
-0.059281791001331435,0.10251447414266468,0.40376453879860474,2.1917237284272924,-1.3036081875671082,-0.9632088303881113
-0.033649381796782674,0.009855130451113338,0.294353789778428,1.9875198828487868,-0.12631743307618026,2.9289683702254035
0.1821843412034464,0.04032920019608181,0.01531778146332953,1.10632322962955,0.5753757834243767,0.23268147191173355
0.1866618416923008,0.22184915220399887,0.20911624370696266,0.5063747028992143,0.25577915622419023,0.9038473912057932
-0.05188598567496079,-0.01966864142189336,-0.03615178423032826,2.087746580311822,1.4054101901906275,-2.842930504859689
-0.03367896798246668,-0.1846473476866376,0.25534232248856276,-0.14907360879498577,0.09112966711388415,-1.8133122208576733
0.010560800765041161,0.015701715601221265,0.022271280891745543,-2.174153316026139,1.3327194368468986,1.6621996533254486
0.11009113570057921,0.14257719518382284,-0.07984846138759816,2.499510674765604,1.0622374826884102,-2.173413716299944
0.09129918167271256,0.24053733574188163,0.11460477401376588,-2.6423101128790067,-0.3503455389309158,1.2523417447872829
-0.04431400167442662,-0.1707295912310264,-0.029074380911406267,-1.5965178706706058,1.4451535261437112,-1.8894025160382149
0.03545593492754001,0.09535794655805084,-0.17715530303292695,1.0884752338704426,1.2290376123934044,1.329606861080013
0.3712037482176933,0.03298755945417735,-0.09774501534040907,1.7819386644157593,0.5281119051207188,0.09157835974392992
