planner_name,planning_time,attempts,states_explored,node_count,tree_depth,success
RRTConnect,0.024570941925048828,1,85,34,17,1
RRTConnect,0.04353761672973633,1,105,42,21,1
RRTConnect,0.052959442138671875,1,105,42,21,1
RRTConnect,0.05016946792602539,1,95,38,19,1
RRTConnect,0.14569664001464844,1,0,0,0,0
RRTConnect,0.03750014305114746,1,115,46,23,1
RRTConnect,0.04692554473876953,1,90,36,18,1
RRTConnect,0.025702953338623047,1,80,32,16,1
RRTConnect,0.054309844970703125,1,130,52,26,1
RRTConnect,0.03096151351928711,1,120,48,24,1
RRTConnect,0.051734209060668945,1,80,32,16,1
RRTConnect,0.05000805854797363,1,115,46,23,1
RRTConnect,0.05153012275695801,1,130,52,26,1
RRTConnect,0.05623936653137207,1,130,52,26,1
RRTConnect,0.04862499237060547,1,90,36,18,1
RRTConnect,0.04851865768432617,1,80,32,16,1
RRTConnect,0.0493464469909668,1,90,36,18,1
RRTConnect,0.04391169548034668,1,80,32,16,1
RRTConnect,0.04613661766052246,1,110,44,22,1
RRTConnect,0.05491995811462402,1,130,52,26,1
RRTConnect,0.06868815422058105,1,90,36,18,1
RRTConnect,0.047365665435791016,1,65,26,13,1
RRTConnect,0.03549361228942871,1,110,44,22,1
RRTConnect,0.053774118423461914,1,110,44,22,1
RRTConnect,0.04484295845031738,1,110,44,22,1
RRTConnect,0.05427908897399902,1,120,48,24,1
RRTConnect,0.037116289138793945,1,85,34,17,1
RRTConnect,0.3812217712402344,1,0,0,0,0
RRTConnect,0.03158402442932129,1,75,30,15,1
RRTConnect,0.04267144203186035,1,90,36,18,1
RRTConnect,0.047434329986572266,1,120,48,24,1
RRTConnect,0.04160928726196289,1,75,30,15,1
RRTConnect,0.0440671443939209,1,110,44,22,1
RRTConnect,0.04958796501159668,1,105,42,21,1
RRTConnect,0.04724836349487305,1,120,48,24,1
RRTConnect,0.030766010284423828,1,85,34,17,1
RRTConnect,0.043205976486206055,1,95,38,19,1
RRTConnect,0.041042327880859375,1,130,52,26,1
RRTConnect,0.041007280349731445,1,85,34,17,1
RRTConnect,0.07251381874084473,1,0,0,0,0
RRTConnect,0.04107499122619629,1,95,38,19,1
RRTConnect,0.048331499099731445,1,115,46,23,1
RRTConnect,0.03827977180480957,1,115,46,23,1
RRTConnect,0.03390622138977051,1,105,42,21,1
RRTConnect,0.03645014762878418,1,125,50,25,1
RRTConnect,0.055206298828125,1,85,34,17,1
RRTConnect,0.04477190971374512,1,120,48,24,1
RRTConnect,0.0598294734954834,1,100,40,20,1
RRTConnect,0.041803836822509766,1,105,42,21,1
RRTConnect,0.040670156478881836,1,125,50,25,1
RRTConnect,0.057749271392822266,1,130,52,26,1
RRTConnect,0.036153554916381836,1,95,38,19,1
RRTConnect,0.05832624435424805,1,105,42,21,1
RRTConnect,0.04066610336303711,1,130,52,26,1
RRTConnect,0.06283402442932129,1,110,44,22,1
RRTConnect,0.038393497467041016,1,75,30,15,1
RRTConnect,0.04107975959777832,1,75,30,15,1
RRTConnect,0.0388638973236084,1,95,38,19,1
RRTConnect,0.04808640480041504,1,125,50,25,1
RRTConnect,0.034813642501831055,1,120,48,24,1
RRTConnect,0.036208391189575195,1,85,34,17,1
RRTConnect,0.03603696823120117,1,90,36,18,1
RRTConnect,0.03797554969787598,1,80,32,16,1
RRTConnect,0.046640634536743164,1,95,38,19,1
RRTConnect,0.044225215911865234,1,120,48,24,1
RRTConnect,0.06487011909484863,1,125,50,25,1
RRTConnect,0.11666488647460938,1,130,52,26,1
RRTConnect,0.0720987319946289,1,95,38,19,1
RRTConnect,0.07756662368774414,1,125,50,25,1
RRTConnect,0.05847644805908203,1,90,36,18,1
RRTConnect,0.10152649879455566,1,95,38,19,1
RRTConnect,0.1093289852142334,1,110,44,22,1
RRTConnect,0.16208791732788086,1,110,44,22,1
RRTConnect,0.13094401359558105,1,85,34,17,1
RRTConnect,0.12212634086608887,1,80,32,16,1
RRTConnect,0.12279105186462402,1,75,30,15,1
RRTConnect,0.12211799621582031,1,110,44,22,1
RRTConnect,0.06038403511047363,1,90,36,18,1
RRTConnect,0.09700632095336914,1,120,48,24,1
RRTConnect,0.1139364242553711,1,90,36,18,1
RRTConnect,0.06832742691040039,1,95,38,19,1
RRTConnect,0.09609699249267578,1,105,42,21,1
RRTConnect,0.05088925361633301,1,90,36,18,1
RRTConnect,0.08344626426696777,1,130,52,26,1
RRTConnect,0.057790517807006836,1,105,42,21,1
RRTConnect,0.06578230857849121,1,130,52,26,1
RRTConnect,0.21943259239196777,1,0,0,0,0
RRTConnect,0.03896617889404297,1,125,50,25,1
RRTConnect,1.0719232559204102,1,0,0,0,0
RRTConnect,0.08689045906066895,1,60,24,12,1
RRTConnect,0.08533740043640137,1,95,38,19,1
RRTConnect,0.06644344329833984,1,75,30,15,1
RRTConnect,0.05497550964355469,1,65,26,13,1
RRTConnect,0.06843757629394531,1,120,48,24,1
RRTConnect,0.07805681228637695,1,90,36,18,1
RRTConnect,0.04788708686828613,1,95,38,19,1
RRTConnect,0.0398252010345459,1,70,28,14,1
RRTConnect,0.03988361358642578,1,115,46,23,1
RRTConnect,0.06569766998291016,1,75,30,15,1
RRTConnect,0.06467676162719727,1,90,36,18,1
RRTConnect,0.05517172813415527,1,95,38,19,1
RRTConnect,0.06276154518127441,1,125,50,25,1
RRTConnect,0.0607905387878418,1,85,34,17,1
RRTConnect,0.08134317398071289,1,120,48,24,1
RRTConnect,0.06009626388549805,1,80,32,16,1
RRTConnect,0.05976295471191406,1,105,42,21,1
RRTConnect,0.04633951187133789,1,100,40,20,1
RRTConnect,0.0358433723449707,1,60,24,12,1
RRTConnect,0.06647682189941406,1,115,46,23,1
RRTConnect,0.04864621162414551,1,105,42,21,1
RRTConnect,0.07148861885070801,1,105,42,21,1
RRTConnect,0.06992745399475098,1,105,42,21,1
RRTConnect,0.06630086898803711,1,95,38,19,1
RRTConnect,0.08510112762451172,1,120,48,24,1
RRTConnect,0.0443875789642334,1,90,36,18,1
RRTConnect,0.043700218200683594,1,70,28,14,1
RRTConnect,0.06753158569335938,1,90,36,18,1
RRTConnect,0.046517372131347656,1,95,38,19,1
RRTConnect,0.03685951232910156,1,80,32,16,1
RRTConnect,0.09419369697570801,1,0,0,0,0
RRTConnect,0.055040836334228516,1,95,38,19,1
RRTConnect,0.1062309741973877,1,80,32,16,1
RRTConnect,0.11085820198059082,1,120,48,24,1
RRTConnect,0.10371136665344238,1,130,52,26,1
RRTConnect,0.9074010848999023,1,0,0,0,0
RRTConnect,0.04242992401123047,1,70,28,14,1
RRTConnect,0.06662344932556152,1,120,48,24,1
RRTConnect,0.060843706130981445,1,120,48,24,1
RRTConnect,0.09171843528747559,1,100,40,20,1
RRTConnect,0.060190439224243164,1,100,40,20,1
RRTConnect,0.04433465003967285,1,90,36,18,1
RRTConnect,0.093048095703125,1,90,36,18,1
RRTConnect,0.058667659759521484,1,125,50,25,1
RRTConnect,0.04101157188415527,1,90,36,18,1
RRTConnect,0.059339046478271484,1,90,36,18,1
RRTConnect,0.040671348571777344,1,105,42,21,1
RRTConnect,0.044831037521362305,1,105,42,21,1
RRTConnect,0.06428766250610352,1,90,36,18,1
RRTConnect,0.07820463180541992,1,95,38,19,1
RRTConnect,0.041124582290649414,1,100,40,20,1
RRTConnect,0.0648648738861084,1,85,34,17,1
RRTConnect,0.07485270500183105,1,120,48,24,1
RRTConnect,0.0755457878112793,1,120,48,24,1
RRTConnect,0.06484675407409668,1,110,44,22,1
RRTConnect,0.06604409217834473,1,105,42,21,1
RRTConnect,0.052353620529174805,1,115,46,23,1
RRTConnect,0.060149192810058594,1,130,52,26,1
RRTConnect,0.05887031555175781,1,100,40,20,1
RRTConnect,0.05811905860900879,1,110,44,22,1
RRTConnect,0.06779909133911133,1,75,30,15,1
RRTConnect,0.036102294921875,1,115,46,23,1
RRTConnect,0.04537081718444824,1,110,44,22,1
RRTConnect,0.03692317008972168,1,105,42,21,1
RRTConnect,0.03742718696594238,1,80,32,16,1
RRTConnect,0.04689955711364746,1,120,48,24,1
RRTConnect,0.04869556427001953,1,95,38,19,1
RRTConnect,0.0384516716003418,1,95,38,19,1
RRTConnect,0.026256799697875977,1,100,40,20,1
RRTConnect,0.04240155220031738,1,90,36,18,1
RRTConnect,0.038988351821899414,1,130,52,26,1
RRTConnect,0.07406997680664062,1,120,48,24,1
RRTConnect,0.025679588317871094,1,80,32,16,1
RRTConnect,0.06098508834838867,1,100,40,20,1
RRTConnect,0.041924476623535156,1,90,36,18,1
RRTConnect,0.0435175895690918,1,90,36,18,1
RRTConnect,0.0477147102355957,1,80,32,16,1
RRTConnect,0.03278946876525879,1,95,38,19,1
RRTConnect,0.05140089988708496,1,120,48,24,1
RRTConnect,0.051500797271728516,1,110,44,22,1
RRTConnect,0.04252886772155762,1,80,32,16,1
RRTConnect,0.02710127830505371,1,90,36,18,1
RRTConnect,0.0514988899230957,1,70,28,14,1
RRTConnect,0.048685550689697266,1,115,46,23,1
RRTConnect,0.23618793487548828,1,0,0,0,0
RRTConnect,0.021596193313598633,1,110,44,22,1
RRTConnect,0.06170392036437988,1,110,44,22,1
RRTConnect,0.048197031021118164,1,105,42,21,1
RRTConnect,0.030537128448486328,1,90,36,18,1
RRTConnect,0.07468676567077637,1,120,48,24,1
RRTConnect,0.041040897369384766,1,120,48,24,1
RRTConnect,0.024868488311767578,1,110,44,22,1
