planner_name,planning_time,attempts,states_explored,node_count,tree_depth,success
RRTConnect,0.10420346260070801,1,0,0,0,0
RRTConnect,0.04424285888671875,1,130,52,26,1
RRTConnect,0.047371625900268555,1,100,40,20,1
RRTConnect,0.039998769760131836,1,90,36,18,1
RRTConnect,0.12780499458312988,1,0,0,0,0
RRTConnect,0.045273542404174805,1,130,52,26,1
RRTConnect,0.04289412498474121,1,95,38,19,1
RRTConnect,0.03364109992980957,1,115,46,23,1
RRTConnect,0.03734445571899414,1,100,40,20,1
RRTConnect,0.042351722717285156,1,90,36,18,1
RRTConnect,0.04210472106933594,1,125,50,25,1
RRTConnect,0.07111382484436035,1,115,46,23,1
RRTConnect,0.14132404327392578,1,100,40,20,1
RRTConnect,0.05704355239868164,1,120,48,24,1
RRTConnect,0.06290292739868164,1,95,38,19,1
RRTConnect,0.07738733291625977,1,125,50,25,1
RRTConnect,0.06768059730529785,1,105,42,21,1
RRTConnect,0.06697344779968262,1,90,36,18,1
RRTConnect,0.09803080558776855,1,120,48,24,1
RRTConnect,0.10648417472839355,1,125,50,25,1
RRTConnect,0.277850866317749,1,0,0,0,0
RRTConnect,0.07765531539916992,1,110,44,22,1
RRTConnect,0.0703883171081543,1,95,38,19,1
RRTConnect,0.07646942138671875,1,110,44,22,1
RRTConnect,0.11826276779174805,1,115,46,23,1
RRTConnect,0.08491206169128418,1,90,36,18,1
RRTConnect,0.10651016235351562,1,75,30,15,1
RRTConnect,0.09103059768676758,1,85,34,17,1
RRTConnect,0.08697509765625,1,125,50,25,1
RRTConnect,0.30005502700805664,1,0,0,0,0
RRTConnect,0.10028576850891113,1,130,52,26,1
RRTConnect,0.08664155006408691,1,130,52,26,1
RRTConnect,0.07741928100585938,1,80,32,16,1
RRTConnect,0.043906211853027344,1,110,44,22,1
RRTConnect,0.05619335174560547,1,125,50,25,1
RRTConnect,0.050627946853637695,1,110,44,22,1
RRTConnect,0.06336665153503418,1,115,46,23,1
RRTConnect,0.042350053787231445,1,125,50,25,1
RRTConnect,0.05516457557678223,1,90,36,18,1
RRTConnect,0.06287193298339844,1,100,40,20,1
RRTConnect,0.05774331092834473,1,85,34,17,1
RRTConnect,0.15540385246276855,1,0,0,0,0
RRTConnect,0.1246342658996582,1,0,0,0,0
RRTConnect,0.05280661582946777,1,90,36,18,1
RRTConnect,0.0696873664855957,1,105,42,21,1
RRTConnect,0.043091535568237305,1,130,52,26,1
RRTConnect,0.0481410026550293,1,125,50,25,1
RRTConnect,0.04887533187866211,1,115,46,23,1
RRTConnect,0.03242850303649902,1,110,44,22,1
RRTConnect,0.05010628700256348,1,125,50,25,1
RRTConnect,0.04701399803161621,1,125,50,25,1
RRTConnect,0.057921409606933594,1,115,46,23,1
RRTConnect,0.038675546646118164,1,125,50,25,1
RRTConnect,0.04404854774475098,1,85,34,17,1
RRTConnect,0.05495929718017578,1,105,42,21,1
RRTConnect,0.04652523994445801,1,105,42,21,1
RRTConnect,0.04547905921936035,1,105,42,21,1
RRTConnect,0.05504727363586426,1,125,50,25,1
RRTConnect,0.05116534233093262,1,120,48,24,1
RRTConnect,0.0469355583190918,1,65,26,13,1
RRTConnect,0.06512999534606934,1,130,52,26,1
RRTConnect,0.05369305610656738,1,95,38,19,1
RRTConnect,0.02654862403869629,1,90,36,18,1
RRTConnect,0.05564570426940918,1,125,50,25,1
RRTConnect,0.05204463005065918,1,90,36,18,1
RRTConnect,0.03702187538146973,1,130,52,26,1
RRTConnect,0.11252379417419434,1,130,52,26,1
RRTConnect,0.10753941535949707,1,110,44,22,1
RRTConnect,0.07936930656433105,1,90,36,18,1
RRTConnect,0.09052729606628418,1,130,52,26,1
RRTConnect,0.06580686569213867,1,95,38,19,1
RRTConnect,0.18911170959472656,1,0,0,0,0
RRTConnect,0.07582259178161621,1,100,40,20,1
RRTConnect,0.053812503814697266,1,75,30,15,1
RRTConnect,0.07509303092956543,1,95,38,19,1
RRTConnect,0.24515318870544434,1,0,0,0,0
RRTConnect,0.06796574592590332,1,110,44,22,1
RRTConnect,0.03950357437133789,1,130,52,26,1
RRTConnect,0.05284714698791504,1,115,46,23,1
RRTConnect,0.04156780242919922,1,130,52,26,1
RRTConnect,0.2694876194000244,1,0,0,0,0
RRTConnect,0.03766226768493652,1,125,50,25,1
RRTConnect,0.047869205474853516,1,120,48,24,1
RRTConnect,0.0534207820892334,1,105,42,21,1
RRTConnect,0.05731344223022461,1,100,40,20,1
RRTConnect,0.046709299087524414,1,120,48,24,1
RRTConnect,0.048964738845825195,1,115,46,23,1
RRTConnect,0.04547905921936035,1,130,52,26,1
RRTConnect,0.04157733917236328,1,110,44,22,1
RRTConnect,0.0355374813079834,1,125,50,25,1
RRTConnect,0.053691864013671875,1,105,42,21,1
RRTConnect,0.06576204299926758,1,125,50,25,1
RRTConnect,0.03510260581970215,1,105,42,21,1
RRTConnect,0.047597408294677734,1,130,52,26,1
RRTConnect,0.04455089569091797,1,75,30,15,1
RRTConnect,0.0471651554107666,1,130,52,26,1
RRTConnect,0.039403676986694336,1,95,38,19,1
RRTConnect,0.03492283821105957,1,120,48,24,1
RRTConnect,0.07115459442138672,1,125,50,25,1
RRTConnect,0.036440372467041016,1,130,52,26,1
