joint1,joint2,joint3,joint4,x,y,z,roll,pitch,yaw
-0.788287681898749,-0.3790775445999044,0.6169951018709141,0.6419905659258782,0.13589677939719197,-0.12461486037660333,0.060964384178816666,1.6653345369377348e-16,0.8799081231968877,-0.7882876818987485
2.8319215077704234,-0.5012637113057902,-0.9649152127637365,-0.014396695529511172,0.027390996031742908,-0.004924579205630954,0.4320953316282209,-2.220446049250313e-16,-1.480575619599038,2.8319215077704234
1.4576609265440963,-0.9715382624914198,-0.49474488632733005,1.839709586250663,0.01630044021323435,0.03784913059649549,0.2288715390669228,0.0,0.37342643743191317,1.4576609265440963
0.6198895383354297,0.3218000103044638,0.4235138468876729,-0.8963490848878458,0.23904220804655557,0.16204961859144257,0.10819992762251196,5.551115123125783e-17,-0.15103522769570898,0.6198895383354295
-2.1612986243157413,-0.07012751847411325,-0.1019409008790082,0.45743304671611207,-0.13167405573549262,-0.21434823253242044,0.17462849329425162,0.0,0.2853646273629906,-2.161298624315741
-2.1614501754128375,1.0971029769720109,0.6418560120411918,0.8697707550141172,0.014467547635264262,0.003680143884773543,-0.08972583961468338,3.141592653589793,0.5328629095624735,0.9801424781769557
-2.776642555026645,-1.4036712585538251,1.2875029135462932,1.3298216758975505,-0.03002654460246361,-0.016056866369293647,0.0007813416077064872,0.0,1.2136533308900184,-2.7766425550266445
2.3007525789727232,0.43160378266537913,-1.1620146056259273,-0.20641631832921403,-0.1496069572414413,0.1805989711852999,0.3499678279758358,0.0,-0.9368271412897623,2.3007525789727232
0.6353243561202211,0.7888466355346835,0.5577463775543765,0.821003401102957,0.06390686272262072,0.0382710033765546,-0.09244785756214362,-3.141592653589793,0.9739962393977764,-2.506268297469572
1.3073585636350948,0.7784597075649211,-0.8320019486668679,-0.5872506000196822,0.09839959125008013,0.32034734359717,0.2157458717899986,0.0,-0.6407928411216289,1.3073585636350946
-3.012256461474685,1.1582219012865753,-0.29801749051804927,-0.10180274103211961,-0.2847346955294686,-0.03859397403506173,-0.0918091880719228,0.0,0.7584016697364064,-3.0122564614746845
2.952530678803174,0.6871012284884821,-1.4046980951940946,1.5869515715164753,-0.2575838889520675,0.051584147344596834,0.12851852203577963,0.0,0.869354704810863,2.952530678803174
2.088798716157191,1.283430184943089,-1.105868591351173,1.7861609262446023,-0.08869245379019768,0.17668058827671207,-0.06553713849521695,-3.1415926535897922,1.177870133753275,-1.0527939374326014
-1.8074266732364683,-0.5020302005373256,-0.572645861758191,0.9380596632230616,-0.021592695693506903,-0.13930312627568447,0.30946493322668245,1.1102230246251565e-16,-0.13661639907245515,-1.8074266732364683
-1.9991526911557285,0.009628250254629211,-0.5082411646648437,-0.32612856085140085,-0.07923987324489312,-0.19980999756665505,0.3390916733432763,0.0,-0.824741475261615,-1.9991526911557287
-1.9892281320082241,-1.4577610101513279,1.1087971277400777,1.309612089207017,-0.014105251074907305,-0.05870399450546113,0.036918227351047925,0.0,0.9606482067957671,-1.9892281320082237
