joint1,joint2,joint3,joint4,joint5_roll,x,y,z,roll,pitch,yaw
-0.788287681898749,-0.3790775445999044,0.6169951018709141,0.6419905659258782,-1.2634729081551443,0.15094766325795583,-0.13975297615313068,0.03514659291491781,-1.2634729081551441,0.8799081231968882,-0.7882876818987486
2.8319215077704234,-0.5012637113057902,-0.9649152127637365,-0.014396695529511172,-2.5458350018320925,0.024516269652878626,-0.0040047675366501854,0.4654590828372841,-2.5458350018320925,-1.4805756195990378,2.831921507770423
1.4576609265440963,-0.9715382624914198,-0.49474488632733005,1.839709586250663,-2.347654227817766,0.01982175439801635,0.0688409997639702,0.21665047561408934,-2.347654227817766,0.37342643743191317,1.457660926544096
0.6198895383354297,0.3218000103044638,0.4235138468876729,-0.8963490848878458,-2.006402475571866,0.2659988736515514,0.18128973001112575,0.11324039307905572,-2.006402475571866,-0.1510352276957092,0.6198895383354295
-2.1612986243157413,-0.07012751847411325,-0.1019409008790082,0.45743304671611207,-1.862001015349818,-0.14957182266019775,-0.24105002421602528,0.16519799701917137,-1.862001015349818,0.28536462736299084,-2.1612986243157413
-2.1614501754128375,1.0971029769720109,0.6418560120411918,0.8697707550141172,-1.6194168134673583,0.03053726043734061,0.027646795816214417,-0.10674388667232027,1.5221758401224346,0.5328629095624735,0.9801424781769555
-2.776642555026645,-1.4036712585538251,1.2875029135462932,1.3298216758975505,-1.5364899530346936,-0.0409668038108987,-0.020236755099545783,-0.03060479002164475,-1.5364899530346934,1.2136533308900184,-2.776642555026645
2.3007525789727232,0.43160378266537913,-1.1620146056259273,-0.20641631832921403,-0.2782424073809313,-0.16283942810247692,0.19538651910114968,0.37695819925057544,-0.2782424073809313,-0.9368271412897621,2.3007525789727232
0.6353243561202211,0.7888466355346835,0.5577463775543765,0.821003401102957,0.06015013194100893,0.04875343916577352,0.027098362733456595,-0.12015698702459665,-3.0814425216487846,0.9739962393977764,-2.506268297469572
1.3073585636350948,0.7784597075649211,-0.8320019486668679,-0.5872506000196822,-1.200847351397008,0.10539249428377165,0.34627521985750576,0.2357732165912973,-1.200847351397008,-0.6407928411216288,1.3073585636350948
-3.012256461474685,1.1582219012865753,-0.29801749051804927,-0.10180274103211961,2.5591188813127665,-0.3088504407386632,-0.04173052145759726,-0.11484921635470481,2.5591188813127665,0.758401669736406,-3.012256461474685
2.952530678803174,0.6871012284884821,-1.4046980951940946,1.5869515715164753,0.3338867289109073,-0.27881688082053907,0.055647022857549334,0.10292744744170144,0.3338867289109073,0.869354704810863,2.952530678803174
