metric,slope,intercept,R_squared
success,0.028999999999999915,0.061666666666667536,0.06147735718027747
planning_time,3.8348586632057495,-19.864159871414394,0.004320571405155849
path_length_joint,0.08108194812173422,0.15029534717717252,0.05820317727144886
trajectory_duration,0.05960526821200006,0.10551543227833271,0.06287466548611886
