x,y,z,roll,pitch,yaw,source,joint1_5,joint2_5,joint3_5,joint4_5,joint1_6,joint2_6,joint3_6,joint4_6,joint5_roll_6,reachable_by_5dof
0.1358967793971919,-0.1246148603766033,0.0609643841788166,1.6653345369377348e-16,0.8799081231968877,-0.7882876818987485,5dof,-0.788287693540811,-0.3790774333844668,0.6169953026975995,0.6419902538837406,,,,,,True
0.0273909960317429,-0.0049245792056309,0.4320953316282209,-2.220446049250313e-16,-1.480575619599038,2.8319215077704234,5dof,2.8319215079933406,-0.5013017717800616,-0.9648372512263446,-0.014436596592630371,,,,,,True
0.0163004402132343,0.0378491305964954,0.2288715390669228,0.0,0.3734264374319131,1.4576609265440963,5dof,1.457660838619325,-0.9716171370747944,-0.49456649008081655,1.8396100645875235,,,,,,True
0.2390422080465555,0.1620496185914425,0.1081999276225119,5.551115123125783e-17,-0.1510352276957089,0.6198895383354295,5dof,0.6198895320621486,0.3218000040038834,0.42351385196477626,-0.8963490836643685,,,,,,True
-0.1316740557354926,-0.2143482325324204,0.1746284932942516,0.0,0.2853646273629906,-2.161298624315741,5dof,-2.1612986316656215,-0.07012752236022804,-0.10194089549822292,0.4574330452214413,,,,,,True
0.0144675476352642,0.0036801438847735,-0.0897258396146833,3.141592653589793,0.5328629095624735,0.9801424781769555,5dof,-2.161450175412837,1.0971029769720109,0.6418560120411918,0.8697707550141172,,,,,,False
-0.0300265446024636,-0.0160568663692936,0.0007813416077064,0.0,1.2136533308900184,-2.7766425550266445,5dof,-2.77664255502664,-1.403679876396729,1.2875036111016402,1.3298296268153482,,,,,,True
-0.1496069572414413,0.1805989711852999,0.3499678279758358,0.0,-0.9368271412897624,2.3007525789727232,5dof,2.300752578211486,0.43151182391025783,-1.1618261269784167,-0.20651283822160427,,,,,,True
0.0639068627226207,0.0382710033765546,-0.0924478575621436,-3.141592653589793,0.9739962393977764,-2.506268297469572,5dof,0.6353243561202148,0.7888463978371317,0.5577465258591132,0.8210034904957719,,,,,,True
0.0983995912500801,0.32034734359717,0.2157458717899986,0.0,-0.6407928411216289,1.3073585636350946,5dof,1.3073585663023408,0.778459306544429,-0.8320011262568745,-0.5872510214091833,,,,,,True
-0.2847346955294686,-0.0385939740350617,-0.0918091880719228,0.0,0.7584016697364064,-3.0122564614746845,5dof,-3.0122564588729293,1.1582214162977738,-0.29801665456434734,-0.10180309199702084,,,,,,True
-0.2575838889520675,0.0515841473445968,0.1285185220357796,0.0,0.869354704810863,2.952530678803174,5dof,2.9525306677919345,0.6667764822496937,-1.3630273419881995,1.5656055645493687,,,,,,True
-0.0886924537901976,0.176680588276712,-0.0655371384952169,-3.141592653589792,1.177870133753275,-1.0527939374326014,5dof,2.0887988169816345,1.2834273450736648,-1.1058627716705793,1.7861579464313722,,,,,,True
-0.0215926956935069,-0.1393031262756844,0.3094649332266824,1.1102230246251563e-16,-0.1366163990724551,-1.8074266732364683,5dof,-1.8074266658800004,-0.502030719512305,-0.572644840215015,0.9380591606548652,,,,,,True
-0.0792398732448931,-0.199809997566655,0.3390916733432763,0.0,-0.824741475261615,-1.9991526911557287,5dof,-1.9991527289478301,0.009628236241368333,-0.5082411371828347,-0.3261285743201485,,,,,,True
-0.0141052510749073,-0.0587039945054611,0.0369182273510479,0.0,0.9606482067957672,-1.989228132008224,5dof,-1.9892281320081213,-1.4577614117146405,1.1087972064696867,1.3096124336720825,,,,,,True
-0.0338096517972505,0.1291675039907158,0.2684439318693858,3.141592653589793,-0.7086550423048527,1.9116103907867292,5dof,-1.2299822754386545,-1.4791269778406486,0.6512577917424381,-1.605068425186857,,,,,,True
0.1332655069738229,0.0190163770039121,0.1925817459848992,0.0,-0.7832120392233459,0.1555492474898727,5dof,0.1555492474873425,-0.7796197370091245,1.3193381519886895,-1.3229305633969846,,,,,,True
0.0877505061929516,-0.0345211644915814,0.2592140831493143,0.0,-0.2330294161129711,-0.4276020589482389,5dof,-0.4276020288439041,-1.1975783693937219,0.23730812553582376,0.7272409109527964,,,,,,True
-0.0209701767924831,0.1244134514794161,0.4009109877382084,3.141592653589793,-0.9920788517029872,1.8298466547148813,5dof,-1.311745999184135,-0.7193880495219911,-0.7989846253832483,-0.6311411269815668,,,,,,True
0.0393803706733306,0.0231931788908896,0.2416288554135413,5.551115123125783e-17,0.27291689188771,0.7027924646851598,5dof,0.7027922345480441,-0.9688701444150903,-0.5498003577393423,1.791587394042145,,,,,,True
0.1623494892401624,0.1805690353878726,0.3261664196225869,3.141592653589793,-1.0550193520312003,0.876465775690666,5dof,-2.265126877900903,-1.4144712424761219,-0.5724143912456338,-0.09968772350275236,,,,,,True
0.0991077097476705,-0.3212283644375647,-0.0634453243395831,0.0,0.5505148802698572,-1.3059936903421665,5dof,-1.3059936903564269,1.2279114959761213,-0.5531644228711521,-0.12423219283511201,,,,,,True
0.053333883905757,-0.0460831182052665,0.2308553985311596,0.0,-0.235182701408342,-0.8396733026956397,5dof,-0.8396733026956396,-1.475330605833325,0.4515961020242653,0.7885518024007176,,,,,,False
0.1620377741934742,-0.0424982891121359,-0.0638018896796903,3.141592653589793,1.2770266054526145,2.8655722238781065,5dof,-0.27602042977543545,0.708245212189845,0.03935276486408046,1.1169680710832532,,,,,,True
0.0244515454179602,-0.0554171433747978,0.391069341221685,1.1102230246251563e-15,-1.3805256538709312,1.7918134105853951,5dof,1.7918134202015252,-1.043565802813764,-0.3822464697241829,0.045286618667015714,,,,,,True
-0.0948469616047707,-0.3265620809067159,0.1434162566795065,-1.1102230246251563e-16,-0.7455674954058946,-1.88700527930341,5dof,-1.8870052748431803,1.2366884382278547,-1.0676387942023655,-0.9146171394313841,,,,,,True
0.3382734699384983,0.0292591779633398,0.0206767014204782,1.3877787807814457e-17,0.8806341101049115,0.0894376142963571,5dof,0.08943757024657663,1.1291633008620345,-1.334873502273024,1.0863443115159008,,,,,,True
0.2361349223000339,0.1470569620766382,0.3129660320598891,1.1102230246251563e-16,-0.9279868171017062,0.5806578612433214,5dof,0.5806577569853668,0.46157818186174204,-0.8651218546578193,-0.5244431443056168,,,,,,True
-0.142499640945226,-0.0464172211543094,0.3605212448825402,3.141592653589793,-1.4126186978092417,0.2918565507147175,5dof,-2.84973611531394,0.5166975862160892,-1.188322960187979,-1.0573485818086623,,,,,,True
