success,solve_time,solution_count,iterations,residual,diversity
1,0.006494045257568359,1,1,1e-06,0.0
1,0.0018534660339355469,1,1,1e-06,0.0
1,0.0038299560546875,1,1,1e-06,0.0
1,0.01796126365661621,1,1,1e-06,0.0
1,0.013592004776000977,1,1,1e-06,0.0
1,0.006506204605102539,1,1,1e-06,0.0
1,0.002604246139526367,1,1,1e-06,0.0
1,0.0017883777618408203,1,1,1e-06,0.0
1,0.005140542984008789,1,1,1e-06,0.0
1,0.003266572952270508,1,1,1e-06,0.0
1,0.002788066864013672,1,1,1e-06,0.0
1,0.0023648738861083984,1,1,1e-06,0.0
1,0.02811574935913086,1,1,1e-06,0.0
1,0.012809514999389648,1,1,1e-06,0.0
1,0.003055572509765625,1,1,1e-06,0.0
1,0.0027740001678466797,1,1,1e-06,0.0
1,0.0027093887329101562,1,1,1e-06,0.0
1,0.011909723281860352,1,1,1e-06,0.0
1,0.06104564666748047,1,1,1e-06,0.0
1,0.0033457279205322266,1,1,1e-06,0.0
1,0.03058767318725586,1,1,1e-06,0.0
1,0.011866569519042969,1,1,1e-06,0.0
1,0.003869771957397461,1,1,1e-06,0.0
1,0.010934114456176758,1,1,1e-06,0.0
1,0.06598567962646484,1,1,1e-06,0.0
1,0.0019669532775878906,1,1,1e-06,0.0
1,0.0019235610961914062,1,1,1e-06,0.0
1,0.0014972686767578125,1,1,1e-06,0.0
1,0.0016446113586425781,1,1,1e-06,0.0
1,0.002534627914428711,1,1,1e-06,0.0
1,0.0029020309448242188,1,1,1e-06,0.0
1,0.0022058486938476562,1,1,1e-06,0.0
1,0.004656791687011719,1,1,1e-06,0.0
1,0.0017788410186767578,1,1,1e-06,0.0
1,0.0027396678924560547,1,1,1e-06,0.0
1,0.0016908645629882812,1,1,1e-06,0.0
1,0.0022077560424804688,1,1,1e-06,0.0
1,0.0017490386962890625,1,1,1e-06,0.0
1,0.0018613338470458984,1,1,1e-06,0.0
1,0.010165214538574219,1,1,1e-06,0.0
1,0.003317117691040039,1,1,1e-06,0.0
1,0.0035653114318847656,1,1,1e-06,0.0
1,0.009719610214233398,1,1,1e-06,0.0
1,0.012498855590820312,1,1,1e-06,0.0
1,0.04020428657531738,1,1,1e-06,0.0
1,0.002839326858520508,1,1,1e-06,0.0
1,0.0019686222076416016,1,1,1e-06,0.0
1,0.0023152828216552734,1,1,1e-06,0.0
1,0.0038557052612304688,1,1,1e-06,0.0
1,0.002040386199951172,1,1,1e-06,0.0
1,0.0018627643585205078,1,1,1e-06,0.0
