x,y,z,qx,qy,qz,qw,joint1,joint2,joint3,joint4,joint5_roll
-0.13003642740032514,-0.17043898606991978,0.21158453441136862,-0.3525223774892727,0.6463757588525635,-0.632022281854447,0.2418143647027228,0.8760444114976647,-1.4249677343319993,-0.7024149767295542,-0.8808165909938205,1.485792458600244
0.1381150298020609,0.25418868381274956,0.10275245496624709,0.8353899172435324,0.530315234226803,0.04513936181164493,-0.13730213592676718,1.1102356231618007,1.1765387031145362,-1.2478773853746932,-0.15154692175505757,-2.9543712026074647
0.007674362980819303,-0.021666730790251217,0.3326220161487123,-0.5320838020540553,-0.6551645584157962,0.009940038727118416,0.5362344865985765,-1.767849742712292,0.016065864310087274,-1.4230456879167954,-0.97026582198,0.9417516973541407
0.05800780720622792,0.013348161188821001,0.2159184859421614,0.9403740548905503,0.1271643870539539,-0.3144749748097496,0.025126594920600098,0.2823756506090276,-0.8386781338779099,0.20887048324013513,1.2706097760076236,-3.100759742670584
-0.06766799193362481,0.21776271791472585,0.17108257524988896,0.5464904044475745,0.6647786412138161,0.379219656648835,-0.3400147762138853,1.921519029768552,0.5944181849646806,-0.5132735020978236,-1.1293902356907617,2.8727544579151907
-0.08618162963123349,0.16228305834775716,0.23447620032844924,0.013272889028630568,-0.5436068836296514,-0.2673274548353858,0.7955195901915472,-1.0267067532613403,-1.2217624698595562,-1.2195225071829543,1.4103043244951772,0.6517298763415971
-0.04496549034372314,0.15182629539225398,0.04220263970128377,0.7917605703741892,-0.4308015837471801,-0.4031237869021777,0.15816575822632234,1.9297438540570226,0.6891953600814538,0.05506146521863209,1.8713348538042902,-0.7631910165515432
0.12992495272998955,0.039994844959379536,-0.021939099032735748,-0.10803323386846375,0.9465775799138094,-0.20157898641180583,0.2273447114441559,0.32698092979229054,0.9882139927589844,0.29370728185631356,1.4624643241405526,0.48601786261956903
-0.051464369798359645,-0.21627240648753263,0.21954732305040153,0.03031807399142395,-0.2836542344279055,-0.7442811880276617,0.6038763141808939,1.2853627555683556,-1.3625268490330134,-0.8390950006105141,-0.6379461735802667,-2.6402448768971887
0.027011435931948033,0.1382886988311082,0.27815848560717127,0.6214772253827121,0.11004562847661872,0.7102807686385558,-0.31170057376593635,-1.6789243767608555,-1.1969957117708128,-0.6938765509807329,0.6329619104503486,-0.8492844672095403
-0.024061359106248983,0.03831405145789196,0.2795324663667337,0.4355300480802592,-0.11994137031992691,-0.3824820492026571,0.80599945840101,-0.8156770400034667,-0.8714789076855369,-0.7257643160575713,1.737522336904853,0.9301337576455166
0.03155825669803043,0.016000930816468754,0.22853989617277204,-0.048281717512333934,-0.6796974410964027,-0.0023551873798523357,0.7318980239169027,0.6856903313645524,-0.986584055405709,0.6144677140560124,-1.1003128478937227,-0.7574037973076977
-0.17577571216437352,0.012378545549087495,0.07068283905274954,-0.2728960815367842,0.6974747441836177,0.35202335440988586,0.561369991946379,3.0757659242411757,0.41999927956227845,0.11515425694647408,0.8125343011328396,2.1542021477562
0.04168434033545773,-0.18008935888695507,0.2761240209463941,0.4767557796113247,-0.5695305455364158,-0.3163916268899019,0.5901145844174263,1.7341585890102307,-0.8128557841076869,-1.4069092926782905,-0.5422873136231694,-1.4593271157184144
0.0040649255534216545,-0.03171692826976083,-0.051985372363081234,0.7272775425924516,0.20364786738287952,-0.6542195329081486,0.03989642731540944,-1.815948350701218,1.3287291430051633,1.0414661167707395,-0.5451321774695861,0.9766499380759202
0.18597095587769322,-0.13384277604635397,-0.04249749095443636,-0.6275408431246583,0.3408186114960695,-0.10532793143974793,0.6920557716881698,-0.6557641057938999,1.2436427692216308,-0.16932962749654346,-0.7278897889521474,-1.5919863211085064
0.0659498150045172,0.02189855323147118,0.2038094589533436,-0.35527412513733914,0.4279319822729866,0.31291268000330874,0.7698962068025517,0.3855873589029346,-0.7117751744311942,0.19529937164826738,1.5950099828210906,-0.6320852680940776
-0.02157314946124269,-0.17200510884898945,-0.08127659942743659,-0.6220683214355098,0.7672695593913527,-0.08103705665310336,0.13327198560390865,-1.7635596820932777,1.4926128194853305,-0.022373748338252897,-1.3663624573221764,-2.8455517361650955
-0.09191053561025683,-0.08557711700955546,0.025985285576399023,-0.1963653437590077,0.8361399302445606,0.00037533778818291927,0.512162599125095,-2.452646848825512,0.3823381251092701,0.7970301566525957,-0.15067292184515946,-2.7424363040550817
0.08779148329146426,-0.06973549446461105,-0.0696086962406407,-0.04961436182474149,-0.43188127839849044,0.8187997376308092,0.37494528417534095,-0.7438079596755642,1.4883641407202903,0.03443160078749741,1.8638576458419787,2.266845724504413
-0.14247296414506846,-0.011162645665387771,9.5471239936612e-07,-0.4630622014600671,-0.5264183749738595,0.5502934085399075,-0.4534691352080842,-3.0694552652072624,0.662165458080584,0.4769600701770669,0.27068111260027816,-1.465080540685874
-0.040672158072956134,-0.06445888483147079,0.2875427566875162,0.7131730446460329,0.2327541060910876,0.6358938891247709,-0.1812420929635825,0.8856891017102582,-1.1653434792123707,-0.23918077305959562,-0.0348339977718124,2.8514095683368437
-0.00017862774352827866,0.012048787362586348,0.29008846279323663,-0.4237085488585311,-0.47173347840382357,-0.4425513218159698,0.634103239651214,2.361553672644514,-0.7098328477467277,-0.048300272154135016,-1.0443475984544177,2.5926171778431604
