j1,j2,j3,j4,j5,x,y,z,roll,pitch,yaw,qx,qy,qz,qw
-2.4827588583338818,0.8769621487904407,0.2970981636375436,1.1924542693663331,1.37231742800221,-0.025738462920892338,-0.02921855004089527,-0.10307870201371908,-1.7692752255875828,0.7750780717954755,0.6588337952559116,0.7552497246812487,0.005161146798147703,-0.4664184888386472,-0.4604617347859631
-0.3160977209041782,0.7499764628329326,-0.07891667508445499,-1.4933855867502495,-2.959504758364891,0.3070817693314303,-0.0965106690498339,0.17656461222092407,-2.959504758364891,-0.8223257990017717,-0.3160977209041784,0.9072018107473174,-0.10779171816300852,0.4061765914053613,-0.019656975010849776
2.978231604504522,-0.3632199695791303,0.22047390774653164,1.5014648808257192,-1.2534726303099009,-0.11949542767674558,0.021674381780675125,0.04938978588223249,-1.2534726303098997,1.3587188189931205,2.978231604504523,-0.5444164737383415,-0.4132449967116134,0.6580828322500623,-0.31585797712399927
-2.5927773183681175,-1.4726108251367713,0.9314677130604379,0.6308533215695598,0.15779972689891508,-0.10753447832578109,-0.07309251459321531,0.14551677363073973,0.15779972689891508,0.08971020949322628,-2.592777318368117,-0.06436451164678453,0.06367999187124186,0.9595837997053402,-0.26646012763415666
-2.5393133099546237,-1.1469871342095053,-0.373683408258769,1.2114506449985452,-2.1113729190786725,-0.030308228346395294,-0.0290864083913238,0.3063974511560285,-2.1113729190786725,-0.3092198974697291,-2.5393133099546232,-0.32749007367749233,0.7986622196351695,-0.5045989933049813,0.01639410033318031
-1.053544690514923,1.2683357972064746,-0.2253447139061031,0.040240406321057964,-1.8018969843785153,0.14378815804696168,-0.23164693508677603,-0.17332307065800445,-1.801896984378515,1.0832314896214297,-1.0535446905149228,-0.4197436032707204,0.6143836635831682,0.08187583306272044,0.6630568372286962
2.280520579450263,-1.2747327124994636,-0.3187070696738188,-1.4532950112798957,-1.7296219063901814,0.1925126257237174,-0.21013069116677263,0.2588761195932635,1.4119707471996117,-0.09485786013661524,-0.8610720741395301,0.5738566717541079,-0.30325681113434283,-0.2892883069534464,0.7035880202532844
-2.504996812770554,1.277099277938853,-0.5624523735178505,-1.2666204382015191,2.1406562414109422,-0.276632301916268,-0.21337602980408393,0.07595608565187316,2.1406562414109427,-0.5519735337805165,-2.504996812770554,-0.1399930662065082,0.8426729678455935,0.36366825041384626,-0.3715502850454181
0.583755994165891,0.1837867251261769,0.14344655330965694,0.5584784124579489,-1.7123433203655365,0.23339098048782714,0.14623980229254052,0.01759030542067387,-1.7123433203655365,0.8857116908937828,0.5837559941658907,0.7344154667810919,-0.07256484055264552,-0.48037103597873887,-0.47393241486629006
-1.8135889068329087,1.2503813387695861,-1.0863725766802317,0.7022029002649941,0.16175688883024275,-0.073272862253482,-0.3442884402161789,-0.06472957347269738,0.16175688883024242,0.866211662354349,-1.8135889068329094,0.37463221095775723,0.2000491950704971,-0.7333761429926338,0.5308393909213944
-1.454767290111544,-0.1668305627337887,0.8031975845473798,-1.4067868316468886,-1.5014288766983865,0.037075509750562126,-0.21514339000444588,0.22709945834552192,-1.5014288766983865,-0.7704198098332974,-1.4547672901115438,0.6548672536201929,-0.21512591254890465,0.6420139479419273,-0.3356900542672767
-0.15636826874094512,1.374232696187566,-1.009370176130731,1.4870197868394779,3.1075463006312503,0.21135237108536337,-0.03142896054044925,-0.13652557722201808,-0.03404635295854308,1.2897103466934805,2.9852243848488484,-0.6002222117309841,0.03337798136478086,0.7974291658930934,0.052210461478744065
2.224776027268206,-0.15885947269708622,-0.295614555221158,1.6487544066545008,-0.49936704723762215,-0.09355331764481332,0.1377076199447911,0.09579238150369856,-0.49936704723762215,1.1942803787362566,2.224776027268206,-0.5790163608229559,0.05786477388762842,0.7800586615593146,0.2300004486268773
1.4137380842134144,-0.7868567932223373,-0.8618588667068948,0.05459940445156697,-1.803701056654218,-0.0016184738446324135,-0.08599556501732783,0.4499532447254429,1.3378915969355656,-1.547476398112128,-1.7278545693763692,-0.12875274972698944,-0.6933482513592792,-0.1452301999846225,0.6939734294533152
-1.7830969441751332,1.3437111920453866,0.09197904523139422,-1.6515095605663868,1.165014778072456,-0.051764713639058116,-0.2958250047456519,-0.023779537966362896,1.165014778072456,-0.21581932328960574,-1.7830969441751332,0.2736026757663037,-0.48202883018283166,-0.6087354281621515,0.5676539096899903
-3.1284831485370748,0.2139748096026317,0.8556544244256501,0.09965813134200441,-1.2496700745524387,-0.16052766229515947,-0.002261881837086112,-0.07608150611491296,-1.2496700745524394,1.1692873653702862,-3.1284831485370748,-0.44441861672814675,-0.4907297689301927,0.6742190854089799,-0.32726902062590485
1.1882029453571956,-1.3717062421717032,-1.183289248430619,-0.812050712637045,0.8522306283210845,-0.129662614702024,-0.35202419313532723,0.14132321530418102,-2.2893620252687086,0.22545354964957398,-1.9533897082325975,-0.46794566731760456,0.7757897655294779,-0.28300195272013295,0.31478085535018024
-1.030255295143979,-0.6359418193250341,0.4955812068934773,0.8892785235969491,2.511472398217212,0.10611366958136337,-0.15681291538778513,0.08548466323415455,2.511472398217212,0.7489179111653925,-1.030255295143979,0.8258989306203249,-0.3373057967531956,-0.44471518315280006,0.07965024639175346
-0.28247216542495845,0.15670810393150125,-0.12526464155818706,0.2199632365945947,2.858991366333561,0.3213417990332903,-0.08978114201825674,0.13860928554411445,2.858991366333561,0.2514066989679089,-0.28247216542495845,0.9749272333362173,-0.12078392102984421,-0.14255506044831887,0.12085606671003926
1.9737310674536799,-0.1626068183172933,-1.1694093694058991,0.3211794327379407,-1.7810281104357417,-0.033881242928303565,0.10763754630216339,0.4453192814149011,-1.7810281104357426,-1.0108367549852515,1.973731067453681,-0.12091123604229473,-0.7353928310233339,0.25166438835518484,0.6174486964210241
0.3557104833092284,-1.0067601617452073,-0.8469638347309115,0.5412198483890334,-1.549030429931115,-0.07163355459809244,-0.031070991609471254,0.4214905401372648,-1.5490304299311153,-1.3125041480870856,0.3557104833092285,-0.46820255260210136,-0.5272634638938799,-0.31980213077802205,0.6328555969013315
